"model_name","n_ifeval_observed_items_before_filter","n_ifeval_items_after_filter","mean_correct_ifeval_after_filter"
"claude-3-5-haiku-20241022",541,534,0.863295880149813
"claude-3-5-sonnet-20240620",541,534,0.908239700374532
"claude-3-5-sonnet-20241022",541,534,0.910112359550562
"claude-3-7-sonnet-20250219",541,534,0.897003745318352
"claude-haiku-4-5-20251001",541,534,0.870786516853933
"claude-opus-4-20250514",541,534,0.945692883895131
"claude-opus-4-20250514-thinking-10k",541,534,0.906367041198502
"claude-sonnet-4-20250514",541,534,0.897003745318352
"claude-sonnet-4-20250514-thinking-10k",541,534,0.893258426966292
"claude-sonnet-4-5-20250929",541,534,0.908239700374532
"deepseek-r1-0528",541,534,0.848314606741573
"deepseek-v3",541,534,0.897003745318352
"falcon-40b-instruct",541,534,0.331460674157303
"falcon-7b-instruct",541,534,0.277153558052434
"gemini-1.5-flash-002",541,534,0.897003745318352
"gemini-1.5-pro-002",541,534,0.897003745318352
"gemini-2.0-flash-001",541,534,0.900749063670412
"gemini-2.0-flash-lite-preview-02-05",541,534,0.887640449438202
"gemini-2.5-flash-lite",541,534,0.868913857677903
"gemini-2.5-flash-preview-04-17",541,534,0.925093632958802
"gemini-2.5-pro-preview-03-25",541,534,0.897003745318352
"gemini-3-pro-preview",541,534,0.925093632958802
"gemma-1.1-2b-it",541,534,0.398876404494382
"gemma-1.1-7b-it",541,534,0.588014981273408
"gemma-2-27b-it",541,534,0.730337078651685
"gemma-2-2b-it",541,534,0.404494382022472
"gemma-2-9b-it",541,534,0.440074906367041
"gemma-2b-it",541,534,0.387640449438202
"gemma-3-12b-it",541,534,0.803370786516854
"gemma-3-1b-it",541,534,0.307116104868914
"gemma-3-27b-it",541,534,0.799625468164794
"gemma-3-4b-it",541,534,0.382022471910112
"gemma-7b-it",541,534,0.50749063670412
"glm-4.5-air-fp8",541,534,0.876404494382023
"gpt-4.1-2025-04-14",541,534,0.893258426966292
"gpt-4.1-mini-2025-04-14",541,534,0.938202247191011
"gpt-4.1-nano-2025-04-14",541,534,0.900749063670412
"gpt-4o-2024-08-06",541,534,0.926966292134832
"gpt-4o-2024-11-20",541,534,0.872659176029963
"gpt-4o-mini-2024-07-18",541,534,0.848314606741573
"gpt-5-2025-08-07",541,534,0.923220973782772
"gpt-5-mini-2025-08-07",541,534,0.953183520599251
"gpt-5-nano-2025-08-07",541,534,0.964419475655431
"gpt-5.1-2025-11-13",541,534,0.971910112359551
"gpt-5.2-2025-12-11",541,534,0.928838951310861
"gpt-5.2-pro-2025-12-11",541,534,0.98314606741573
"gpt-5.3-chat-latest",541,534,0.949438202247191
"gpt-5.4-2026-03-05",541,534,0.928838951310861
"gpt-5.4-mini-2026-03-17",541,534,0.913857677902622
"gpt-5.4-nano-2026-03-17",541,534,0.893258426966292
"gpt-5.4-pro-2026-03-05",541,534,0.99250936329588
"gpt-oss-120b",541,534,0.897003745318352
"gpt-oss-20b",541,534,0.777153558052434
"granite-3.3-8b-instruct",541,534,0.805243445692884
"granite-4.0-h-small",541,534,0.934456928838951
"granite-4.0-h-small-with-guardian",541,534,0.846441947565543
"granite-4.0-micro",541,534,0.906367041198502
"granite-4.0-micro-with-guardian",541,534,0.876404494382023
"grok-3-beta",541,534,0.930711610486891
"grok-3-mini-beta",541,534,0.97565543071161
"grok-4-0709",541,534,0.973782771535581
"kimi-k2-instruct",541,534,0.908239700374532
"llama-2-13b-hf",541,534,0.331460674157303
"llama-2-70b-hf",541,534,0.391385767790262
"llama-2-7b-hf",541,534,0.370786516853933
"llama-3.1-405b-instruct-turbo",541,534,0.876404494382023
"llama-3.1-70b-instruct-turbo",541,534,0.885767790262172
"llama-3.1-8b-instruct-turbo",541,534,0.823970037453184
"llama-4-maverick-17b-128e-instruct-fp8",541,534,0.945692883895131
"llama-4-scout-17b-16e-instruct",541,534,0.887640449438202
"marin-8b-instruct",541,534,0.717228464419476
"mistral-7b-instruct-v0.3",541,534,0.644194756554307
"mistral-7b-v0.1",541,534,0.335205992509363
"mistral-large-2411",541,534,0.926966292134832
"mistral-small-2503",541,534,0.823970037453184
"mixtral-8x22b-instruct-v0.1",541,534,0.794007490636704
"mixtral-8x7b-instruct-v0.1",541,534,0.653558052434457
"nova-lite-v1:0",541,534,0.850187265917603
"nova-micro-v1:0",541,534,0.833333333333333
"nova-premier-v1:0",541,534,0.863295880149813
"nova-pro-v1:0",541,534,0.880149812734082
"o3-2025-04-16",541,534,0.917602996254682
"o4-mini-2025-04-16",541,534,0.956928838951311
"olmo-2-0325-32b-instruct",541,534,0.844569288389513
"olmo-2-1124-13b-instruct",541,534,0.803370786516854
"olmo-2-1124-7b-instruct",541,534,0.771535580524345
"olmoe-1b-7b-0125-instruct",541,534,0.713483146067416
"palmyra-fin",541,534,0.865168539325843
"palmyra-med",541,534,0.833333333333333
"palmyra-x-004",541,534,0.926966292134832
"palmyra-x5",541,534,0.889513108614232
"qwen-1.5-0.5b-chat",541,534,0.228464419475655
"qwen-1.5-1.8b-chat",541,534,0.254681647940075
"qwen-1.5-14b-chat",541,534,0.531835205992509
"qwen-1.5-32b-chat",541,534,0.623595505617977
"qwen-1.5-4b-chat",541,534,0.374531835205993
"qwen-1.5-7b-chat",541,534,0.49625468164794
"qwen-14b-chat",541,534,0.50936329588015
"qwen-2-1.5b-instruct",541,534,0.428838951310861
"qwen-2-72b-instruct",541,534,0.895131086142322
"qwen-2-7b-instruct",541,534,0.722846441947566
"qwen-2.5-0.5b-instruct",541,534,0.395131086142322
"qwen-2.5-1.5b-instruct",541,534,0.608614232209738
"qwen-2.5-14b-instruct",541,534,0.911985018726592
"qwen-2.5-32b-instruct",541,534,0.915730337078652
"qwen-2.5-3b-instruct",541,534,0.782771535580524
"qwen-2.5-72b-instruct",541,534,0.941947565543071
"qwen-2.5-7b-instruct",541,534,0.852059925093633
"qwen-3-30b-instruct",541,534,0.889513108614232
"qwen-3-4b-instruct",541,534,0.919475655430712
"qwen-3-80b-instruct",541,534,0.945692883895131
"qwen-7b-chat",541,534,0.363295880149813
"qwen-8b-chat",541,534,0.264044943820225
"qwen2.5-72b-instruct-turbo",541,534,0.874531835205993
"qwen2.5-7b-instruct-turbo",541,534,0.816479400749064
"qwen3-235b-a22b-fp8-tput",541,534,0.880149812734082
"qwen3-235b-a22b-instruct-2507-fp8",541,534,0.900749063670412
"qwen3-next-80b-a3b-thinking",541,534,0.876404494382023
"redpajama-incite-3b-chat",541,534,0.239700374531835
"redpajama-incite-3b-instruct",541,534,0.308988764044944
"redpajama-incite-7b-chat",541,534,0.207865168539326
"redpajama-incite-7b-instruct",541,534,0.290262172284644
