"item","block","block_size_mode","loading_strength","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","cross_sign_mode","H","p","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
1,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.51647728180978,0,0,0,1.29538549133576,0,0,0,1.70227244775742,0,0,0,-1.7060045968974,0,0,0,0,0,0,0
2,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.27912329137325,0,0,0,0,0,0,0,-1.54892534960527,1.44260319613386,-1.50790817663074,0,-1.69423019234091,1.48003844975028,0,0,-1.60544559266418,0,1.5321957556298,0
3,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.70282006787602,0,0,0,0,0,1.44907683157362,1.54091515333857,0,0,0,0,0,1.45053705526516,0,0,0,0,1.60594966902863,0
4,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.62865954043809,-1.3950660044793,0,0,0,0,0,0,0,0,-1.69310605770443,0,0,-1.61920926847961,0,0,0,0,0,0
5,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.46629814442713,-1.46262572275009,0,0,0,0,0,0,0,0,0,0,1.61861523753032,0,0,-1.39174567104783,-1.58916884334758,0,0,0
6,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.39138404349796,0,1.39076278533321,0,0,1.29937873827294,0,1.49967183975969,0,1.55092861934099,0,0,-1.53174549899995,0,0,0,0,0,0,0
7,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.49876317102462,0,1.4359076191904,0,0,0,-1.50107798818499,1.27331506484188,1.44670963275712,-1.59629470284563,0,0,0,0,0,0,0,0,0,1.45831966912374
8,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.59437620127574,0,0,0,0,0,-1.64203727780841,0,0,0,0,-1.3970531381201,0,0,1.57278432138264,0,0,0,0,0
9,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.29951903398614,-1.28289469447918,0,0,0,1.30767585558351,1.65397372969892,0,-1.4928931602044,-1.67832372395787,0,0,1.33941171539482,0,0,0,0,1.25594566087238,0,0
10,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.25183673424181,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42356593441218,1.51352261845022,0,0,0,0
11,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.7115979337832,0,0,0,0,0,0,1.42143548256718,0,0,0,1.50686026585754,0,0,0,-1.64176090504043,1.64561640913598,0,-1.61735880188644,0
12,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.56441333331168,-1.45796554104891,0,0,0,0,0,0,0,0,0,-1.43788631085772,0,0,0,0,0,0,0,0
13,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.55461567477323,0,0,0,0,0,0,1.35923717438709,0,0,0,0,0,0,0,-1.61884147813544,0,0,1.35372406884562,0
14,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.39239415782504,1.55517221835908,0,0,-1.32069162547123,0,0,0,0,0,-1.43700829672161,0,0,0,0,0,-1.37690010166261,0,0,0
15,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.67325216520112,0,0,1.62108676042408,0,-1.49288355209865,1.71189932595007,0,-1.68903845886234,0,0,1.57225489488337,0,0,0,1.72773463919293,0,1.293836457422,-1.32400561205577,0
16,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.57378597697243,0,0,1.51259941945318,0,1.53955018124543,0,1.59955947170965,0,0,0,1.55721278267447,0,0,0,1.27694423194043,0,-1.69852055341471,0,1.34737763088197
17,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.38010481745005,0,0,-1.54528319044039,0,-1.48671604378615,-1.31002094922587,0,-1.25962819939014,1.52725929778535,0,0,0,0,1.53240106755402,0,0,0,0,-1.38015901134349
18,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.41931152995676,0,0,1.40482130402233,0,0,-1.58094606397208,1.3356992858462,-1.53465137560852,0,0,0,0,0,0,0,0,0,1.43184094934259,0
19,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.56571785989217,-1.35160477296449,0,1.50928752403706,0,-1.61690637515858,0,0,0,0,0,0,1.41168594162446,0,0,0,0,0,1.55916645214893,0
20,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.66595981852151,0,0,0,0,1.27664548181929,0,-1.41257249400951,-1.69571435824037,0,1.65910137665924,0,0,0,0,0,0,0,0,0
21,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.37311253137887,0,1.49984210182447,-1.65778689167928,0,0,0,0,0,0,-1.73480444867164,0,0,0,0,0,0,0,0,0
22,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.6966760015348,0,0,0,0,0,0,0,0,1.64873977669049,0,0,0,0,0,0,0,0,0,0
23,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.74776258110069,1.29937014158349,0,-1.73295142140705,0,0,1.68413497600704,1.34872048126999,0,-1.30466032528784,0,0,0,1.66434358956758,0,0,0,1.3783788693836,0,0
24,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.5949118345743,0,-1.48827209684532,0,0,-1.61038415692747,0,0,0,1.25806012540124,0,0,0,0,0,-1.41918572504073,1.34581993916072,0,1.63067714648787,0
25,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.64769166475162,0,0,0,0,1.74504125409294,0,0,0,0,0,0,0,0,0,0,0,0,1.34650885674637,0
26,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.50500935583841,0,0,0,0,1.54289872269146,0,1.27341864898335,1.41135739407036,0,0,0,0,0,0,0,-1.34607312665321,0,0,0
27,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.57309223595075,0,0,0,0,0,1.71285504265688,0,0,0,-1.40560543246102,-1.28737781965174,0,0,1.31617838947568,0,0,0,0,0
28,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.51403804775327,0,1.72968621039763,0,-1.50322882679757,0,-1.56503148702905,1.54555083136074,0,0,0,0,0,0,0,0,0,1.59779701172374,0,0
29,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.26990209415089,1.52774317003787,0,0,0,0,0,0,0,0,0,0,0,0,1.675227446598,0,0,0,0,0
30,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.66018539678771,-1.28963623091113,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.53737637703307,-1.46585031982977,0,0,0
31,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.42597434867639,0,0,0,0,0,1.36662999726832,0,0,1.6898576078238,1.57143977202941,0,0,0,0,0,0,-1.5475675680209,0,1.5265335830627
32,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.60496716597117,0,0,0,0,0,0,0,0,0,0,0,-1.27962991350796,0,0,0,0,0,0,0
