"item","block","block_size_mode","loading_strength","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","cross_sign_mode","H","p","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10"
1,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",10,500,2.91849103022832,0,0,0,0,0,0,0,0,0
2,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",10,500,2.70489788241684,0,0,0,0,0,0,0,0,0
3,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",10,500,2.5269510387443,0,0,0,0,0,0,-2.93025786650833,0,0
4,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",10,500,2.55218821228482,0,0,0,0,0,0,0,0,0
5,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",10,500,2.84339872316923,0,0,0,0,0,0,0,0,-2.66643220791593
6,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",10,500,2.67237732966896,0,0,0,0,0,0,0,0,0
7,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",10,500,2.56740931724198,-2.91663327801507,0,0,0,0,0,0,0,0
8,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",10,500,2.55612606101204,0,0,0,0,0,0,0,0,0
9,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",10,500,2.58747460390441,0,0,2.54870059678797,0,0,0,0,0,0
10,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",10,500,2.75060787168331,0,0,0,0,0,0,0,2.8337494089501,0
11,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",10,500,2.55402103194501,0,0,0,0,0,0,0,2.68511444167234,0
12,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",10,500,2.82062501332257,0,0,0,0,0,0,0,0,0
13,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",10,500,2.92911065090448,0,0,0,0,0,0,0,0,0
14,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",10,500,2.81679875776172,0,0,0,0,0,0,0,0,0
15,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",10,500,2.67050040257163,0,0,0,0,0,0,0,0,2.67763555294368
16,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",10,500,2.66195610433351,0,0,0,0,0,2.81262861122377,0,0,0
17,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",10,500,2.66357334644999,0,-2.67594002722763,0,0,0,0,0,0,0
18,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",10,500,2.96446918183938,0,0,0,0,0,0,0,0,0
19,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",10,500,2.89505338517483,0,0,0,0,0,0,0,0,0
20,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",10,500,2.58285558060743,0,-2.76861255150288,0,0,0,0,0,0,0
21,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",10,500,2.5867997292662,0,0,0,0,0,0,0,0,0
22,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",10,500,2.8837730132509,0,0,0,0,0,0,0,0,0
23,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",10,500,2.86314255639445,0,0,0,0,0,0,0,0,0
24,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",10,500,2.9020555447787,0,0,0,0,0,0,0,0,0
25,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",10,500,2.96103932452388,0,0,0,0,-2.67323355074041,0,0,0,0
26,1,"balanced","strong",2.5,3,2.5,3,0.075,"random",10,500,2.83035750116687,0,0,0,0,0,0,0,0,0
