"item","block","block_size_mode","loading_strength","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","cross_sign_mode","H","p","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15"
1,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.66961835336406,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.9392563982401,0,0,0,0,0,0,-2.86680720420554,0,0,0,2.89366642211098,2.57397898135241,0,0
3,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.75382192770485,2.65747412142809,0,0,0,0,0,0,2.79354314599186,0,2.68616941059008,2.69346971239429,0,0,-2.55303291510791
4,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.66541160270572,0,0,0,0,0,0,0,0,0,0,0,0,2.56964312167838,0
5,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.86184558551759,0,0,2.93062196136452,-2.56508625426795,0,0,2.50763394334354,0,0,0,2.6753843385959,0,0,-2.64715191663709
6,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.59320262540132,2.70261319016572,0,0,0,0,0,2.74193812988233,0,0,0,0,0,0,-2.80371701857075
7,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.88764908432495,0,0,0,2.81501819298137,0,0,2.58136369020212,0,0,0,0,0,0,2.69702807848807
8,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.71741333545651,0,0,0,0,-2.60805236850865,0,0,0,0,2.99284899805207,-2.53901417192537,-2.77183399512433,2.87155341531616,0
9,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.71851038024761,0,0,0,0,-2.73086611973122,0,-2.61220595624764,0,0,0,0,0,-2.86519068607595,2.90541163552552
10,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.62854240229353,0,0,0,0,0,-2.83556720730849,0,0,0,-2.6596203999361,0,0,0,0
11,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.75481426750775,0,2.62907795223873,0,0,0,0,2.98352406325284,0,-2.71493331342936,0,0,0,2.59534417104442,0
12,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.84427732776385,0,0,-2.80117742705625,0,0,0,0,0,0,0,0,-2.74636802903842,0,0
13,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.60436504031532,0,2.55662388715427,0,0,0,0,2.77661176491529,0,-2.54143101361115,-2.50351683062036,0,0,0,2.57225524587557
14,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.99186121148523,0,0,0,0,0,0,0,2.77395565272309,0,0,0,0,0,0
15,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.81796630297322,0,0,0,-2.72458431404084,0,2.99259056302253,0,0,0,0,-2.8073276799405,0,0,0
16,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.64121365768369,0,-2.59782806958538,0,0,0,0,0,0,-2.83446115010884,-2.98119582631625,0,0,0,0
17,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.5550952028716,0,0,0,0,-2.7260831980966,0,0,0,0,0,0,0,0,0
18,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.98275493993424,0,0,0,-2.56406831939239,2.5274485264672,0,0,0,0,2.76604231295642,2.62677325995173,0,0,0
19,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.78457476454787,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.86241941328626,-2.84963572619017,0,0,-2.67581018223427,0,0,0,2.74167993885931,0,-2.61113732506055,0,0,-2.99781021825038,0
21,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.79728384304326,2.61595678399317,2.66229693440255,0,0,0,2.84231257031206,0,0,0,2.84032713272609,0,0,0,2.82573730847798
22,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.77018816641066,0,2.59450726315845,0,-2.97498321288731,-2.55777693854179,0,0,0,0,0,2.82782339397818,0,0,0
23,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.97483414853923,-2.87233050796203,2.94069606252015,2.8296697458718,0,0,0,0,2.98825039016083,0,0,-2.97392982896417,0,0,0
24,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.70954020239878,0,0,0,-2.79446442297194,0,2.63159209571313,0,0,0,0,0,0,0,-2.50366375024896
25,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.99586128268857,0,0,0,2.77098423615098,0,0,0,0,0,2.82737454609014,2.82684658037033,0,0,0
26,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.81943954760209,0,0,0,0,0,0,0,2.86592741473578,-2.76334570534527,0,0,-2.98807062080596,0,0
27,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.84257324005011,0,2.98882137227338,0,0,0,-2.50394332397263,0,0,0,-2.98543879773933,0,-2.96723326633219,0,2.93610188807361
28,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.88469439907931,0,0,0,0,0,0,0,0,-2.57002871541772,0,0,0,0,2.97396845940966
29,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.92706117150374,0,0,0,0,0,2.53630803059787,0,-2.56458279874641,0,0,0,0,0,0
30,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.93003891047556,0,0,0,-2.76210229517892,0,0,2.77897909714375,2.51488843699917,2.9993073779624,0,0,0,0,0
31,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.793491462362,0,0,0,0,0,0,0,0,0,0,0,-2.8276504840469,0,2.67507517698687
32,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.94499945035204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.59432914666831,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.67664938303642
34,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.50820836832281,2.70507190970238,0,0,-2.91819488164037,0,0,0,0,0,0,2.68829786079004,0,0,2.94204523228109
35,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.58096697553992,0,0,0,0,0,0,0,-2.65951004833914,0,2.52850201714318,0,0,0,0
36,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.77232463634573,0,0,0,-2.91642533743288,-2.54173129040282,0,0,0,-2.73779806296807,0,-2.79070404788945,0,0,0
37,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.5655241390923,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.79194694873877,0,0,0,0,0,0,2.86022704117931,0,0,0,0,0,0,0
39,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.53157942846883,0,0,0,0,0,0,0,2.54480146337301,0,0,0,0,0,2.81902972073294
40,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.57343367673457,0,0,0,0,0,0,0,-2.53989238804206,0,0,0,2.94410985708237,2.89669667056296,0
41,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.94622412987519,0,-2.65796091407537,0,0,2.71622226701584,0,0,0,0,0,0,0,0,0
42,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.96901003783569,0,0,0,0,0,0,0,0,0,2.84955153230112,0,0,-2.91226267290767,0
43,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.52741703856736,0,0,0,0,0,-2.6938066878356,2.86260095098987,0,2.76084499806166,0,0,0,0,0
44,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",15,500,2.7938889907673,0,0,0,0,-2.75914563972037,0,0,0,0,0,0,0,0,0
