"item","block","block_size_mode","loading_strength","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","cross_sign_mode","H","p","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
1,1,"balanced","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.42261942639016,0,1.36858011828735,-1.26893626188394,0,0,1.71060414845124,0,0,0,0,0,0,1.42593831894919,0,0,1.70487497118302,0,0,0
2,1,"balanced","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.40611158928368,-1.35233602172229,-1.59645112149883,1.51273321709596,0,0,1.47669556515757,0,0,0,0,0,0,-1.46905163361225,0,-1.56826157972682,0,0,0,0
3,1,"balanced","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.32201632962096,0,0,0,0,0,0,0,0,0,0,-1.63527571316808,1.27472371514887,0,0,0,0,0,0,0
4,1,"balanced","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.44295193871949,0,0,0,-1.27148492261767,0,0,1.30171155370772,0,1.61092936177738,1.66029026673641,0,0,1.44896646437701,0,0,0,0,0,0
5,1,"balanced","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.34726505889557,0,-1.51456181379035,0,0,1.63538600737229,1.42776753788348,0,-1.74428743694443,0,1.56536345137283,0,-1.54961974185426,0,0,0,0,0,0,0
6,1,"balanced","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.41206837736536,0,-1.67449769354425,0,0,0,0,0,0,1.37248950474896,0,0,0,0,0,0,0,0,0,0
7,1,"balanced","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.39656475570519,0,0,0,0,0,0,-1.650858686422,0,0,0,0,0,0,1.51634429499973,0,0,0,0,0
8,1,"balanced","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.52155808208045,0,0,0,0,-1.58303649921436,1.37362641096115,0,0,1.37053032196127,0,0,0,-1.688612375292,1.57039930589963,-1.31926141784061,0,0,0,0
9,1,"balanced","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.65028585423715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.58026797429193,0,0,1.55178546893876,-1.66509101795964
10,1,"balanced","weak",1.25,1.75,1.25,1.75,0.2,"random",20,500,1.42356282297987,-1.72795280779246,1.57760583609343,0,0,1.71136917790864,0,0,-1.55676760955248,0,-1.73392089048866,0,0,0,0,0,0,-1.49120208574459,0,0
