"item","block","block_size_mode","loading_strength","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","cross_sign_mode","H","p","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
1,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",20,500,2.75387171655893,0,0,-2.62229290313553,2.72285621135961,2.72770688694436,0,-2.80763230647426,0,0,0,0,0,-2.72116267611273,0,0,0,2.91122808214277,0,0
2,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",20,500,2.99461205629632,0,0,0,2.53171916690189,0,0,-2.78598900616635,0,0,0,0,0,0,-2.85476990230381,0,0,2.77780866948888,-2.95001256477553,0
3,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",20,500,2.91851344995666,2.55844019213691,0,2.75036811712198,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52863328857347,0,-2.95175237231888
4,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",20,500,2.92113495641388,0,2.64480907667894,0,0,0,0,0,2.80851036380045,0,0,0,0,0,0,-2.59592267172411,0,-2.81441750423983,0,0
5,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",20,500,2.988486321643,0,0,0,0,0,0,0,0,0,0,0,0,2.5273478232557,0,0,0,0,0,0
6,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",20,500,2.5800765324384,0,-2.80742868396919,0,0,-2.73245849518571,-2.65483349678107,0,0,0,-2.50325728626922,0,2.77154929668177,0,0,0,0,0,0,-2.80270861345343
7,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",20,500,2.92882749205455,0,0,0,0,0,0,0,0,0,0,0,-2.56337079918012,0,-2.82652691984549,0,0,0,0,0
8,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",20,500,2.93876577005722,0,-2.91905153845437,2.83689937205054,0,0,2.96135790483095,0,0,0,-2.63633136451244,0,-2.9224965228932,0,0,0,0,0,-2.75776012521237,0
9,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",20,500,2.58709015778732,0,0,0,0,0,0,0,0,2.840693740407,0,0,0,0,0,2.53481957968324,0,0,-2.94667738827411,0
10,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",20,500,2.91612047702074,0,2.92802806512918,2.79547735198867,0,0,0,-2.9985345096793,2.92071233352181,0,0,0,2.6863833979005,0,0,0,0,2.65280739753507,0,0
11,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",20,500,2.78823622001801,2.69905537925661,0,0,-2.76476224127691,0,0,0,-2.99187383707613,2.68100585904904,2.75850537524093,0,0,0,0,0,0,0,0,0
12,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",20,500,2.82115792634431,0,-2.88509295752738,0,0,-2.50552137265913,0,0,0,0,0,0,0,0,0,0,0,-2.72284712071996,2.56325029651634,0
13,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",20,500,2.78011100715958,-2.77212831168436,0,-2.85537481762003,0,0,0,0,0,0,0,2.72221587877721,0,0,0,0,0,0,0,0
14,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",20,500,2.82429421669804,0,0,0,0,0,0,2.62402835360263,2.75159807363525,0,0,0,0,0,0,2.83686319121625,0,0,0,0
15,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",20,500,2.82413295574952,0,0,0,0,-2.77135031635407,0,0,2.6477155223256,0,0,0,0,0,0,0,0,0,0,0
16,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",20,500,2.60992568079382,0,0,0,-2.57643385708798,0,0,2.8889953760663,-2.78170690336265,0,0,0,0,0,0,0,0,0,0,-2.71363104938064
17,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",20,500,2.86262094171252,0,0,0,0,0,0,-2.84350994462147,0,0,0,0,0,0,0,2.94246174884029,-2.88120400172193,0,0,0
18,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",20,500,2.50579740758985,0,0,0,0,0,0,0,-2.66627680789679,0,2.90466882975306,0,0,-2.65883863740601,0,0,0,2.61386090586893,2.90450621105265,0
19,1,"balanced","strong",2.5,3,2.5,3,0.2,"random",20,500,2.72669540031347,0,0,0,0,-2.63895937532652,2.5474160737358,0,-2.76991182670463,0,2.58391536131967,-2.90556175156962,0,0,-2.57395705627277,2.76922067813575,0,2.65131646068767,0,0
