"item","block","block_size_mode","loading_strength","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","cross_sign_mode","H","p","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
1,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",20,500,2.71105818648357,0,0,2.79147195420228,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.58505528594833,0,2.86645764368586
2,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",20,500,2.69878980878275,0,2.54925998928957,2.54486339248251,-2.6612967493711,-2.53535081993323,0,0,0,0,-2.55885067477357,2.78925425582565,0,0,0,0,0,0,0,0
3,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",20,500,2.98845516599249,0,-2.52534981374629,0,0,-2.67390431417152,0,0,0,0,0,2.80405022704508,0,0,0,0,0,0,0,0
4,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",20,500,2.92633181216661,0,-2.92548563878518,2.55264909833204,0,0,0,-2.53722201602068,2.73397110775113,0,0,-2.62521550478414,-2.57775141682941,0,0,0,0,2.94645499729086,2.8992604528321,0
5,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",20,500,2.99421690020245,0,0,-2.96012436051387,0,2.60224928043317,2.97936997015495,0,0,0,0,0,0,-2.76592090388294,2.71682815789245,-2.93176273733843,0,0,0,0
6,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",20,500,2.64309627923649,0,0,0,-2.7117414252134,0,0,-2.72218071029056,2.89903159649111,0,0,0,-2.69882501859684,0,2.70862434466835,0,2.7058010258479,0,0,-2.99741668358911
7,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",20,500,2.75251682801172,0,0,0,0,0,0,0,0,-2.51529201271478,2.5546452619601,2.5028640726814,0,-2.54536156065296,2.75406048202422,0,2.53891016403213,0,0,0
8,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",20,500,2.51750924426597,0,0,2.7332726244349,0,2.79362522182055,0,0,0,0,0,0,0,0,0,0,0,2.95168628159445,0,-2.85620837903116
9,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",20,500,2.85153094748966,2.60789705964271,0,0,0,-2.60608192009386,0,0,0,0,0,-2.54464523284696,0,0,0,0,0,2.53525953216013,0,0
10,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",20,500,2.99615149665624,0,0,0,0,0,0,0,0,0,0,0,0,-2.59238359681331,0,-2.73676513985265,0,0,0,0
11,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",20,500,2.50232567021158,0,0,0,-2.76472901855595,-2.8395357815316,0,0,0,0,2.52127254125662,0,0,2.51694297767244,0,0,0,-2.79366613738239,-2.81462473864667,0
12,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",20,500,2.9538409402594,0,0,-2.60390826396178,2.52865943615325,0,0,0,0,-2.60682347463444,2.97517687489744,0,2.58360513614025,0,0,0,0,0,0,0
13,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",20,500,2.58493343170267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51114003662951,2.82892196241301,0,2.93232293683104,-2.70170377532486
14,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",20,500,2.86735677579418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",20,500,2.58435997623019,-2.80232507700566,0,0,0,0,-2.69654186675325,0,0,0,0,0,0,-2.63484978245106,0,0,0,0,0,2.81166305474471
16,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",20,500,2.72087183746044,2.81963104417082,0,0,0,0,0,0,0,2.85998422885314,0,0,0,0,-2.87173241679557,0,0,0,0,0
17,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",20,500,2.82935352937784,0,0,0,0,0,2.50595337606501,0,0,-2.9733618714381,2.8268056823872,0,0,0,0,0,0,0,2.85904509632383,-2.62116135796532
18,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",20,500,2.61451860936359,0,0,0,0,0,0,0,0,2.54270164843183,0,0,-2.84844667476136,0,0,0,0,0,0,0
