"item","block","block_size_mode","loading_strength","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","cross_sign_mode","H","p","F1","F2","F3","F4","F5"
1,1,"balanced","weak",1.25,1.75,1.25,1.75,0.2,"random",5,500,1.65401697531343,0,0,1.41650586714968,0
2,1,"balanced","weak",1.25,1.75,1.25,1.75,0.2,"random",5,500,1.63850143144373,0,0,0,1.39494063542224
3,1,"balanced","weak",1.25,1.75,1.25,1.75,0.2,"random",5,500,1.5445990532171,0,1.70787362148985,1.43151416373439,0
4,1,"balanced","weak",1.25,1.75,1.25,1.75,0.2,"random",5,500,1.28968009131495,0,1.58034330653027,0,1.59253705688752
5,1,"balanced","weak",1.25,1.75,1.25,1.75,0.2,"random",5,500,1.5383024290204,0,0,-1.28288956952747,0
6,1,"balanced","weak",1.25,1.75,1.25,1.75,0.2,"random",5,500,1.50886612210888,0,0,0,-1.48702717781998
7,1,"balanced","weak",1.25,1.75,1.25,1.75,0.2,"random",5,500,1.72400400985498,0,0,0,0
8,1,"balanced","weak",1.25,1.75,1.25,1.75,0.2,"random",5,500,1.53944592364132,-1.5360413256567,0,0,1.2769478072878
9,1,"balanced","weak",1.25,1.75,1.25,1.75,0.2,"random",5,500,1.65435276506469,0,0,0,0
10,1,"balanced","weak",1.25,1.75,1.25,1.75,0.2,"random",5,500,1.47803120536264,0,0,0,0
11,1,"balanced","weak",1.25,1.75,1.25,1.75,0.2,"random",5,500,1.41788502316922,0,0,0,0
12,1,"balanced","weak",1.25,1.75,1.25,1.75,0.2,"random",5,500,1.27497303765267,0,0,0,0
13,1,"balanced","weak",1.25,1.75,1.25,1.75,0.2,"random",5,500,1.415934607503,0,1.69622396258637,0,0
14,1,"balanced","weak",1.25,1.75,1.25,1.75,0.2,"random",5,500,1.25232719071209,0,0,0,1.36857708485331
15,1,"balanced","weak",1.25,1.75,1.25,1.75,0.2,"random",5,500,1.34776760346722,0,0,0,0
