"item","block","block_size_mode","loading_strength","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","cross_sign_mode","H","p","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10"
1,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",10,500,2.73346420377493,-2.50064732145984,-2.92885266395751,2.66994023066945,-2.88135037582833,0,0,0,0,0
2,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",10,500,2.91202996275388,0,0,0,0,0,2.50557163404301,0,0,-2.62212536297739
3,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",10,500,2.83751367824152,0,0,0,0,0,0,0,0,2.92466223973315
4,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",10,500,2.94646049838047,0,0,0,0,0,0,0,-2.94663862825837,0
5,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",10,500,2.64607792790048,0,0,0,0,0,0,0,0,0
6,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",10,500,2.95918480481487,0,0,0,0,-2.78768115781713,0,0,2.66991203336511,0
7,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",10,500,2.94840634264983,2.97902088996489,0,2.55132697476074,2.66681926266756,0,2.54840234713629,0,0,2.78972126264125
8,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",10,500,2.84078183805104,0,0,0,0,0,0,0,0,-2.94469725969248
9,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",10,500,2.92510655953083,0,2.58332666591741,-2.640850507305,-2.72311958880164,0,0,0,0,0
10,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",10,500,2.66514969093259,0,-2.6761895804666,0,0,0,0,0,0,0
11,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",10,500,2.65734252741095,0,0,0,0,0,0,-2.86772829608526,0,0
12,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",10,500,2.70023578498513,0,0,0,0,0,0,0,0,0
13,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",10,500,2.69771117775235,-2.86853890016209,0,-2.60331317957025,0,0,0,0,0,-2.79852674272843
14,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",10,500,2.79269062087405,-2.63455060322303,0,-2.56886950414628,0,0,0,-2.723367953673,0,0
15,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",10,500,2.5755062494427,0,0,0,0,0,0,2.90719996916596,-2.63539666391443,0
16,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",10,500,2.56604705669452,0,0,0,0,0,0,0,0,0
17,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",10,500,2.89664884540252,-2.92083002417348,0,0,0,0,0,0,-2.61268284497783,0
18,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",10,500,2.54616905143484,0,0,0,0,0,-2.79862269584555,0,-2.56000875518657,0
19,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",10,500,2.97889176406898,0,0,0,0,0,0,2.69734298577532,0,0
