"item","block","block_size_mode","loading_strength","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","cross_sign_mode","H","p","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15"
1,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.50907903467305,0,0,0,0,0,0,-1.51545797334984,0,1.2621179978596,0,0,0,0,0
2,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.37866044684779,-1.29154991207179,-1.54062936559785,0,1.51556109462399,0,0,0,-1.28571702353656,0,0,0,-1.31719418626744,1.7273795788642,0
3,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.57696892227978,0,0,-1.2763172313571,0,0,0,0,0,0,0,-1.74777857377194,0,-1.60345626750495,0
4,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.46334976132493,0,0,0,0,1.72514583577868,0,-1.59748157742433,0,0,1.55243857484311,0,0,0,-1.53803940548096
5,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.74969066097401,0,1.37570284749381,1.40796701947693,0,0,0,0,0,0,0,0,0,0,1.25555920868646
6,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.594830959104,0,0,0,0,0,0,0,0,0,0,0,1.32322019361891,0,-1.47526136413217
7,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.58862532698549,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.31044741172809,0,0,0,0,0,0,1.2709549467545,1.6523154823808,0,0,-1.33969213394448,0,0,0
9,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.64793254295364,0,0,0,0,0,1.64797915040981,0,0,-1.50738719548099,-1.501697183121,0,0,0,-1.5436815546127
10,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.41508332989179,0,0,0,0,-1.3670722002862,1.6209988394985,0,0,-1.57716203143355,1.32140719587915,0,0,-1.34057761461008,0
11,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.72925929410849,0,0,0,0,-1.43318903259933,1.57910703925882,0,0,0,0,0,-1.63784828584176,0,0
12,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.30426478921436,0,0,0,0,0,0,-1.57172277267091,1.35574293404352,0,-1.28484608314466,-1.45428404782433,-1.6442521919962,-1.671321853064,0
13,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.71375059068669,0,0,0,0,0,0,0,0,0,0,0,-1.32415646780282,0,0
14,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.43600651144516,0,0,1.66987695230637,0,0,-1.61918785597663,-1.27653408446349,0,0,0,0,0,0,1.63786310737487
15,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.51955128379632,1.66332192148548,0,1.31143571948633,1.50036998454016,0,0,0,0,0,0,-1.28469577676151,0,0,0
16,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.39060537528712,0,0,0,1.3289400433423,0,0,0,-1.64526904979721,1.2779402830638,0,0,1.44407947396394,0,0
17,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.64072798355483,0,0,0,0,0,1.46506016002968,-1.27866840001661,0,0,1.55504944629502,0,0,0,0
18,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.52340781851672,0,0,0,0,0,1.65463649004232,0,0,0,-1.32699873612728,1.39867116545793,1.47654198168311,0,0
19,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.6647223061882,0,0,0,0,0,0,-1.52567319956142,0,1.46590555040166,-1.30314107763115,0,0,0,0
20,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.50424480566289,0,0,0,-1.31601795507595,0,1.69772578356788,0,0,0,0,0,0,1.60278290684801,0
21,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.65360790712293,-1.5836204229854,0,0,1.68463801324833,0,0,0,1.61847026750911,0,1.55591265915427,0,0,0,-1.67485097411554
22,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.50315780180972,0,-1.33715811395086,0,0,1.35177315783221,0,0,0,0,0,0,0,0,0
23,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.46476888400503,0,0,0,0,0,0,1.67892256053165,0,0,0,0,0,0,0
24,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.52860862691887,-1.60183529381175,0,-1.47782684233971,0,0,0,0,0,0,1.48402294004336,0,0,0,0
25,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.39104038791265,-1.43355856626295,0,0,1.54655133152846,0,0,0,0,0,0,0,0,0,1.53584151365794
26,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.66539171303157,0,0,0,0,0,0,-1.35188525018748,0,0,0,0,0,1.63083963922691,0
27,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.67538170085754,0,0,0,0,0,0,0,1.59775098669343,1.60180679091718,0,0,0,0,0
28,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.62318107497413,0,0,0,0,0,0,0,1.69736507115886,1.61699579504784,0,0,0,0,0
29,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.66962453664746,-1.57083134830464,0,-1.74137925088871,-1.67081570043229,0,-1.32919018529356,0,0,1.44618019484915,0,0,0,0,0
30,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.62121448141988,0,-1.71641654672567,0,0,0,0,0,-1.73968850262463,0,0,0,-1.50730960769579,0,0
31,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.28914293902926,1.31212505931035,0,0,1.38624715455808,0,0,0,0,0,-1.47311582881957,0,1.43664954358246,0,0
32,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.49267449951731,1.71320877003018,0,0,0,0,0,0,0,-1.39928136195522,0,0,0,0,1.72262226929888
33,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.65639247046784,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.39651387522463,0,0,0,1.33354849671014,0,0,1.47184011596255,0,0,0,0,0,0,0
35,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.63110406289343,-1.2972303731367,0,0,0,0,0,0,1.3191878751386,0,0,0,0,0,1.57080525089987
36,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.4736471157521,0,0,0,-1.39309863327071,0,0,0,0,0,0,0,0,0,-1.44923884118907
37,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.49252471292857,0,0,0,-1.28350865794346,0,0,0,-1.25158606038895,0,0,0,0,0,0
38,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.53687092114706,0,0,0,0,0,0,0,1.45343201269861,1.55126888363156,0,0,0,0,-1.70739949587733
39,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.65623262827285,-1.43811007228214,0,0,0,0,0,0,1.48967968812212,-1.67362055846024,0,0,0,0,0
40,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.63181088957936,-1.64622659527231,0,0,0,0,0,0,-1.40946215740405,0,0,0,0,0,1.73054451332428
41,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.39264492574148,0,0,0,0,1.31830529437866,0,0,0,0,0,1.49422604800202,0,0,0
42,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.67849614669103,-1.4769205293851,0,0,0,0,0,-1.66131228255108,0,0,1.69496052432805,0,0,0,0
43,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.3136844629189,0,0,-1.3528653762769,0,0,0,0,0,0,0,-1.458510607481,0,0,1.42760363977868
44,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",15,500,1.38293997733854,1.3853073559003,0,0,0,0,0,0,0,0,0,1.46127305610571,0,0,0
