"item","block","block_size_mode","loading_strength","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","cross_sign_mode","H","p","F1","F2","F3","F4","F5"
1,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",5,500,1.56286446517333,0,1.28156919882167,0,0
2,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",5,500,1.5036504046293,0,0,0,0
3,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",5,500,1.66681265109219,0,0,0,0
4,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",5,500,1.53459828847554,0,0,0,0
5,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",5,500,1.47743648022879,0,0,-1.61468167591374,0
6,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",5,500,1.34760300139897,-1.58345569844823,0,0,0
7,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",5,500,1.39269080292434,0,0,-1.35883623047266,1.47907109174412
8,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",5,500,1.332030737889,0,0,-1.70189171482343,0
9,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",5,500,1.48844871146139,0,0,0,0
10,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",5,500,1.54134300572332,0,0,0,0
11,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",5,500,1.66501876502298,0,1.28817188169342,0,0
12,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",5,500,1.50098509935196,0,0,0,1.67321315116715
13,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",5,500,1.57813661312684,0,0,0,-1.41776082688011
14,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",5,500,1.34568917495199,0,0,-1.42951641487889,0
15,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",5,500,1.62209491175599,0,-1.65306540334132,0,0
16,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",5,500,1.52847629704047,0,0,0,0
17,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",5,500,1.73276262520812,0,0,0,-1.60097496607341
18,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",5,500,1.28794972330797,1.46633187471889,-1.47098019800615,0,1.37714387895539
19,1,"ifeval_like","weak",1.25,1.75,1.25,1.75,0.2,"random",5,500,1.48531319596805,1.37086976936553,0,0,0
