"item","block","block_size_mode","loading_strength","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","cross_sign_mode","H","p","F1","F2","F3","F4","F5"
1,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",5,500,2.92632924579084,0,0,0,-2.72253556037322
2,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",5,500,2.61852104053833,2.92698719375767,0,-2.94292187364772,-2.80608025041874
3,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",5,500,2.51885402586777,0,0,2.70973289420363,0
4,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",5,500,2.7890507428674,0,0,0,0
5,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",5,500,2.54371541237924,0,0,0,0
6,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",5,500,2.79582886002026,0,0,0,0
7,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",5,500,2.68447415088303,0,0,0,0
8,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",5,500,2.73694622633047,0,0,0,2.61734176240861
9,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",5,500,2.5284749919083,-2.88347267033532,0,0,0
10,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",5,500,2.94975154404528,0,0,0,0
11,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",5,500,2.75270865589846,0,0,0,0
12,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",5,500,2.67734794155695,0,0,0,2.91657415428199
13,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",5,500,2.88546513847541,0,0,0,0
14,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",5,500,2.61152590916026,2.54222261859104,-2.54496987734456,0,0
15,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",5,500,2.59684900182765,0,0,0,0
16,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",5,500,2.66093214543071,0,0,0,0
17,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",5,500,2.92701901169494,0,0,0,0
18,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",5,500,2.72451191244181,0,0,0,2.64409604645334
19,1,"ifeval_like","strong",2.5,3,2.5,3,0.2,"random",5,500,2.61193675582763,-2.91898526751902,-2.64111219765618,0,0
