"item","block","H","p","p_master","loading_seed","separation","block_size_mode","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","F1","F2","F3","F4","F5"
1,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.84920943202451,0,0,0,0
2,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.40921621862799,0,-2.39010291057639,0,2.76766955247149
3,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.73620336735621,0,-2.45587046723813,0,0
4,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.82213374809362,0,0,0,0
5,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.50985663547181,-2.24159269407392,0,0,0
6,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.97610481805168,0,0,0,0
7,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.93061262951232,0,0,0,0
8,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.4881474589929,0,0,0,0
9,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.96748453890905,-2.29002242861316,0,0,0
10,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.41497995587997,0,0,0,0
11,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.71915304288268,0,0,0,0
12,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.08349221921526,0,-2.30890996521339,0,0
13,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.75559688080102,0,0,0,0
14,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.78380359127186,0,0,2.43513455172069,0
15,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.18182430323213,0,0,0,0
16,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.75904746400192,0,0,-2.57885958394036,0
17,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.66339030233212,0,0,0,-2.41456366679631
18,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.19595205993392,0,0,0,0
19,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.56715625245124,0,0,0,0
20,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.32101343595423,-2.15331228333525,2.14757686411031,0,0
21,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.67332762340084,0,0,0,0
22,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.92310372251086,0,0,0,0
23,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.3956601168029,0,0,0,0
24,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.74643160775304,0,0,0,0
25,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.9848932872992,0,0,0,0
26,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.81631079758517,0,0,0,0
27,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.39767617243342,0,0,0,0
28,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.04764405591413,0,0,-2.83843224565499,0
29,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.71559594920836,2.06485507707112,0,0,0
30,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.68423992977478,0,0,-2.47733052237891,0
31,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.37336222874001,0,0,0,0
32,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.68743465049192,0,0,0,0
33,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.33378721075132,0,0,0,0
34,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.54809853853658,0,0,0,0
35,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.03634246741422,0,0,0,0
36,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.33185761002824,0,0,0,0
37,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.49779317667708,0,0,0,0
38,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.40160933602601,0,0,0,0
39,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.2570299974177,0,0,0,0
40,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.53961774962954,0,0,0,0
41,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.22521474095993,0,0,0,0
42,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.62890524463728,0,0,0,0
43,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.79098943271674,0,0,0,0
44,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.78608196577989,0,0,0,0
45,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.23807443398982,0,0,0,0
46,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.30654941522516,0,0,2.7406865414232,0
47,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.97543884883635,0,0,0,0
48,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.89999122079462,0,0,0,0
49,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.18983723828569,0,0,0,0
50,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.24964406853542,0,0,0,0
51,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.79037012881599,0,0,0,0
52,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.0449884722475,0,0,0,0
53,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.91183632798493,0,0,0,0
54,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.20022000279278,0,0,0,0
55,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.4953148518689,0,2.77430303581059,0,0
56,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.85601488989778,0,0,0,0
57,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.12848639232107,0,0,0,0
58,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.19258694862947,0,0,0,0
59,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.25450398074463,0,0,0,0
60,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.79652571165934,0,0,0,0
61,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.9951127525419,0,-2.45303558465093,0,0
62,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.36323717026971,0,0,0,0
63,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.42166327522136,0,2.74747843667865,0,0
64,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.295214737067,0,0,0,0
65,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.70966618461534,0,0,0,0
66,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.72888996847905,0,0,0,0
67,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.32482236251235,0,0,0,0
68,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.59576332895085,0,0,0,0
69,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.73686862550676,0,0,0,0
70,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.90146993100643,0,0,0,0
71,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.90670204162598,0,0,0,0
72,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.13689728779718,0,0,0,0
73,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.95552486693487,0,0,0,0
74,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.94577732821926,0,0,0,0
75,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.45028200396337,0,0,0,0
76,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.87742683431134,0,0,0,0
77,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.85856599337421,0,0,0,0
78,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.04691032576375,0,0,0,0
79,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.22002655849792,0,0,0,0
80,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.46842093369924,-2.11474451189861,0,0,0
81,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.03645264287479,0,0,0,0
82,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.47778217145242,0,0,0,0
83,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.32137244078331,0,0,0,0
84,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.03609507856891,0,0,0,0
85,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.47276407037862,0,0,0,0
86,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.02379810204729,0,0,0,0
87,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.03635133779608,0,0,0,0
88,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.64851288497448,0,0,0,0
89,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.62003261153586,0,0,0,0
90,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.40987927070819,0,0,0,0
91,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.92470889538527,0,0,0,0
92,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.20863679517061,0,0,0,0
93,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.89592706551775,0,0,0,0
94,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.06979094073176,0,0,2.24019870208576,0
95,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.33510065684095,0,0,0,0
96,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.46405653771944,0,0,0,0
97,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.07523155934177,0,0,0,0
98,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.40140719339252,0,2.44301402429119,0,0
99,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.30591540387832,0,0,0,0
100,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.54561973293312,0,0,0,0
101,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.42983055021614,0,0,0,0
102,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.47111291461624,0,0,0,2.05462252092548
103,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.71818391419947,0,0,0,0
104,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.85860783443786,0,0,0,0
105,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.63478759443387,0,0,0,0
106,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.60756845911965,0,0,0,0
107,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.43497608741745,0,0,0,0
108,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.29140576627105,0,0,0,0
109,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.2407549507916,0,0,0,0
110,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.94839410064742,0,0,0,0
111,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.6708190953359,2.35759723978117,0,0,0
112,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.31398483063094,0,0,0,0
113,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.83430513949133,0,0,0,0
114,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.41533361026086,0,-2.31994830095209,0,0
115,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.20338629256003,0,2.63991152355447,0,0
116,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.45057777292095,0,0,0,0
117,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.93626429745927,0,0,0,0
118,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.40459168795496,0,0,0,0
119,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.65750619303435,0,0,0,0
120,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.13274281192571,0,0,0,0
121,1,5,1000,2000,20772531,2,"ifeval_min30",2,3,2,3,0.05,2.34822785668075,0,0,0,0
