"item","block","H","p","p_master","loading_seed","separation","block_size_mode","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10"
1,1,10,1500,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.66642105602659,0,0,0,0,0,-2.59515826147981,0,0,0
2,1,10,1500,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.40171073935926,0,0,-2.74902609642595,0,0,0,0,0,0
3,1,10,1500,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.128549272893,0,0,0,0,0,0,0,0,0
4,1,10,1500,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.91930621745996,0,0,0,0,0,0,0,0,0
5,1,10,1500,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.15014948090538,0,0,0,0,0,0,0,0,0
6,1,10,1500,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.75938504072838,0,0,0,0,0,0,0,0,0
7,1,10,1500,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.81819585314952,0,0,0,0,0,0,0,-2.70731179788709,0
8,1,10,1500,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.3032113420777,0,0,0,0,0,0,0,0,0
9,1,10,1500,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.43238579831086,0,0,0,2.17721716454253,0,0,0,0,0
10,1,10,1500,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.25454880413599,0,0,0,0,0,0,0,0,0
11,1,10,1500,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.19501245766878,0,0,0,0,0,0,0,0,-2.49415047792718
12,1,10,1500,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.44448423967697,-2.14827240817249,0,0,0,0,0,-2.33018979988992,0,0
13,1,10,1500,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.52691105450504,0,0,0,0,0,0,0,0,0
14,1,10,1500,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.32295300415717,0,0,0,0,2.0363722818438,0,0,0,0
