"item","block","H","p","p_master","loading_seed","separation","block_size_mode","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10"
1,1,10,1000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.66642105602659,0,0,0,0,0,-2.59515826147981,0,0,0
2,1,10,1000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.40171073935926,0,0,-2.74902609642595,0,0,0,0,0,0
3,1,10,1000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.128549272893,0,0,0,0,0,0,0,0,0
4,1,10,1000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.91930621745996,0,0,0,0,0,0,0,0,0
5,1,10,1000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.15014948090538,0,0,0,0,0,0,0,0,0
6,1,10,1000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.75938504072838,0,0,0,0,0,0,0,0,0
7,1,10,1000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.81819585314952,0,0,0,0,0,0,0,-2.70731179788709,0
8,1,10,1000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.3032113420777,0,0,0,0,0,0,0,0,0
9,1,10,1000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.43238579831086,0,0,0,2.17721716454253,0,0,0,0,0
10,1,10,1000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.25454880413599,0,0,0,0,0,0,0,0,0
11,1,10,1000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.19501245766878,0,0,0,0,0,0,0,0,-2.49415047792718
12,1,10,1000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.44448423967697,-2.14827240817249,0,0,0,0,0,-2.33018979988992,0,0
13,1,10,1000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.52691105450504,0,0,0,0,0,0,0,0,0
14,1,10,1000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.32295300415717,0,0,0,0,2.0363722818438,0,0,0,0
15,1,10,1000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.43798002670519,0,0,0,0,0,0,0,0,0
16,1,10,1000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.19751647277735,0,0,0,0,0,0,2.27562036341988,0,0
17,1,10,1000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.20516954408959,0,0,0,0,0,0,0,0,0
18,1,10,1000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.12058361223899,0,0,0,0,0,0,0,0,0
19,1,10,1000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.92204874008894,0,0,0,0,0,0,0,0,0
20,1,10,1000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.78055283986032,0,0,0,2.80330325849354,0,0,0,0,0
21,1,10,1000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.02715790690854,0,0,0,0,0,0,0,0,0
22,1,10,1000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.77204071544111,0,0,0,0,0,0,0,0,0
23,1,10,1000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.56679436611012,0,0,0,-2.54517924576066,0,0,0,0,0
24,1,10,1000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.71574206906371,0,0,0,0,0,0,0,0,0
25,1,10,1000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.49728905432858,0,0,0,0,0,-2.51585192373022,0,0,0
26,1,10,1000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.85623800545,0,0,0,0,0,0,0,0,0
27,1,10,1000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.51857285015285,0,0,0,0,0,0,0,0,0
28,1,10,1000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.99400719348341,0,0,0,2.50872747320682,0,0,0,0,0
29,1,10,1000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.88488119328395,0,0,0,0,0,0,0,0,0
30,1,10,1000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.02373236045241,0,0,0,0,0,0,-2.4522427523043,0,0
31,1,10,1000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.64565813355148,0,0,0,0,0,0,0,0,0
32,1,10,1000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.47458886355162,0,0,0,0,0,2.42257702630013,0,0,0
33,1,10,1000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.90964462468401,2.19418875779957,0,0,0,0,0,0,0,0
34,1,10,1000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.05476657906547,0,0,0,0,0,0,0,0,0
35,1,10,1000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.6507464570459,0,0,0,0,0,2.58334380295128,0,0,0
36,1,10,1000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.93790512019768,0,0,2.06121189449914,0,0,0,0,0,0
37,1,10,1000,2000,21272531,2,"ifeval_min30",2,3,2,3,0.05,2.2951173579786,0,0,0,0,0,0,0,0,0
