"H","singular_value","singular_value_ratio_to_next","residual_variance","bai_ng_icp2","selected_by_bai_ng_icp2"
1,105.023698393931,2.81339463497311,0.275424057715005,-1.24045807719783,FALSE
2,37.3298850749159,1.07959312067806,0.252579462309981,-1.27805885002212,FALSE
3,34.5777352225718,1.23793529258556,0.232979138160436,-1.3098505739143,FALSE
4,27.931779172684,1.12537955427492,0.220189231803852,-1.31732690270872,TRUE
5,24.8198743851184,1.08567039232481,0.210090442221999,-1.31529084489384,FALSE
6,22.8613348587044,1.02164087946293,0.201522563016723,-1.30794234598942,FALSE
7,22.3770752700524,1.09862614746915,0.193313817153746,-1.30054356858838,FALSE
8,20.3682347462795,1.05374626707106,0.186512751798344,-1.28737355784096,FALSE
9,19.3293541175658,1.01189220496542,0.180387769329455,-1.27177909725206,FALSE
10,19.102186994539,1.04777101704324,0.174405907887252,-1.25651725490464,FALSE
