"method","factor","component","true_weight","est_weight","true_mu","est_mu","true_var","est_var","weight_error","mu_error","var_error"
"Product MAP",1,1,0.3,0.288677722496148,-1.25014738117109,-1.32873197386245,0.0434130131846929,0.0804628115376278,-0.0113222775038521,-0.0785845926913591,0.0370497983529349
"Product MAP",1,2,0.4,0.42162072066315,0,0.0758621549375485,0.0905777682495444,0.106865080385367,0.0216207206631497,0.0758621549375485,0.0162873121358231
"Product MAP",1,3,0.3,0.289701556840702,1.25014738117109,1.21364610665161,0.0434130131846929,0.0524899162908958,-0.0102984431592976,-0.0365012745194815,0.00907690310620287
"Product MAP",2,1,0.3,0.296836470602693,-1.25014738117109,-1.29802502165846,0.0434130131846929,0.0628344334162029,-0.00316352939730652,-0.0478776404873702,0.01942142023151
"Product MAP",2,2,0.4,0.378824350136033,0,0.0101159502388101,0.0905777682495444,0.101476822656134,-0.0211756498639672,0.0101159502388101,0.0108990544065896
"Product MAP",2,3,0.3,0.324339179261274,1.25014738117109,1.17618526461277,0.0434130131846929,0.0519047044060747,0.0243391792612737,-0.0739621165583269,0.00849169122138185
"Product MAP",3,1,0.3,0.337534280665053,-1.25014738117109,-1.1603101211566,0.0434130131846929,0.05,0.0375342806650527,0.0898372600144968,0.00658698681530711
"Product MAP",3,2,0.4,0.386560215878398,0,0.0627867365506584,0.0905777682495444,0.119066887807544,-0.0134397841216021,0.0627867365506584,0.028489119558
"Product MAP",3,3,0.3,0.275905503456549,1.25014738117109,1.33141364261786,0.0434130131846929,0.0553199983764012,-0.0240944965434505,0.0812662614467627,0.0119069851917083
"Product MAP",4,1,0.3,0.269789746291283,-1.25014738117109,-1.31324752191089,0.0434130131846929,0.0611288372172025,-0.0302102537087167,-0.0631001407397915,0.0177158240325096
"Product MAP",4,2,0.4,0.415520522755314,0,-0.0656779084543757,0.0905777682495444,0.130785220699581,0.0155205227553138,-0.0656779084543757,0.0402074524500362
"Product MAP",4,3,0.3,0.314689730953403,1.25014738117109,1.21266117100389,0.0434130131846929,0.06747416388999,0.0146897309534029,-0.0374862101672058,0.0240611507052971
"Product MAP",5,1,0.3,0.317257013009926,-1.25014738117109,-1.18571485891812,0.0434130131846929,0.05,0.0172570130099265,0.0644325222529691,0.00658698681530711
"Product MAP",5,2,0.4,0.373278288180894,0,-0.0509923491243859,0.0905777682495444,0.0981664234086744,-0.0267217118191059,-0.0509923491243859,0.00758865515912993
"Product MAP",5,3,0.3,0.309464698809179,1.25014738117109,1.27706212814923,0.0434130131846929,0.0610184429557601,0.00946469880917933,0.0269147469781335,0.0176054297710672
"Viroli Laplace",1,1,0.3,0.291693732859585,-1.25014738117109,-1.32965312450825,0.0434130131846929,0.080860121185089,-0.00830626714041538,-0.0795057433371513,0.0374471080003962
"Viroli Laplace",1,2,0.4,0.403247921969034,0,0.115689169980014,0.0905777682495444,0.122863069518015,0.00324792196903373,0.115689169980014,0.0322853012684703
"Viroli Laplace",1,3,0.3,0.305058345171382,1.25014738117109,1.11847478132673,0.0434130131846929,0.0791345749221219,0.00505834517138226,-0.13167259984436,0.035721561737429
"Viroli Laplace",2,1,0.3,0.300175192153991,-1.25014738117109,-1.27468157387639,0.0434130131846929,0.0780679149412517,0.000175192153991421,-0.0245341927052951,0.0346549017565588
"Viroli Laplace",2,2,0.4,0.368707795720125,0,0.0248297708429604,0.0905777682495444,0.112103864972782,-0.0312922042798753,0.0248297708429604,0.0215260967232378
"Viroli Laplace",2,3,0.3,0.331117012125884,1.25014738117109,1.12791805501001,0.0434130131846929,0.0786117816322379,0.0311170121258839,-0.122229326161082,0.035198768447545
"Viroli Laplace",3,1,0.3,0.343191533219629,-1.25014738117109,-1.12505151488435,0.0434130131846929,0.0778114328179469,0.0431915332196291,0.12509586628674,0.034398419633254
"Viroli Laplace",3,2,0.4,0.369341936850944,0,0.055412132799106,0.0905777682495444,0.129159411106737,-0.0306580631490563,0.055412132799106,0.0385816428571927
"Viroli Laplace",3,3,0.3,0.287466529929427,1.25014738117109,1.27194678970428,0.0434130131846929,0.0869277710344155,-0.012533470070573,0.0217994085331865,0.0435147578497226
"Viroli Laplace",4,1,0.3,0.286636057506163,-1.25014738117109,-1.22200733609069,0.0434130131846929,0.113183798272599,-0.0133639424938373,0.0281400450804008,0.0697707850879062
"Viroli Laplace",4,2,0.4,0.388804376445708,0,-0.0802952519828487,0.0905777682495444,0.145386623712908,-0.011195623554292,-0.0802952519828487,0.0548088554633636
"Viroli Laplace",4,3,0.3,0.324559566048129,1.25014738117109,1.1754098487512,0.0434130131846929,0.0988473612313858,0.0245595660481286,-0.0747375324198907,0.0554343480466929
"Viroli Laplace",5,1,0.3,0.337826193656873,-1.25014738117109,-1.08797212123489,0.0434130131846929,0.112707619605003,0.0378261936568733,0.162175259936208,0.0692946064203103
"Viroli Laplace",5,2,0.4,0.351226144760347,0,-0.0677403417033195,0.0905777682495444,0.121071841801347,-0.0487738552396534,-0.0677403417033195,0.0304940735518025
"Viroli Laplace",5,3,0.3,0.31094766158278,1.25014738117109,1.25853224813077,0.0434130131846929,0.0816819994166552,0.0109476615827802,0.00838486695967355,0.0382689862319623
