"H_true","G_true","n","p","block_size_mode","loading_strength","cross_loading_prob","gibbs_method","product_rows","gibbs_rows","factor_score_rmse_product","factor_score_rmse_gibbs","factor_score_rmse_product_minus_gibbs","lambda_rmse_product","lambda_rmse_gibbs","lambda_rmse_product_minus_gibbs","alpha_rmse_product","alpha_rmse_gibbs","alpha_rmse_product_minus_gibbs","marginal_mu_rmse_product","marginal_mu_rmse_gibbs","marginal_mu_rmse_product_minus_gibbs","marginal_var_rmse_product","marginal_var_rmse_gibbs","marginal_var_rmse_product_minus_gibbs","marginal_weight_rmse_product","marginal_weight_rmse_gibbs","marginal_weight_rmse_product_minus_gibbs","seconds_product","seconds_gibbs","seconds_product_minus_gibbs","seconds_gibbs_div_product"
5,"2-2-2-2-2",100,500,"ifeval_min30","strong",0.05,"viroli_laplace_gibbs",25,25,0.136120452074492,0.162259837258657,-0.0261393851841649,0.494006153050143,0.438659161165032,0.0553469918851112,0.467025061148684,0.451970780223924,0.0150542809247601,0.0881660934130413,0.0849834290389814,0.00318266437405987,0.0533155006993861,0.0525612996524384,0.00075420104694774,0.0455137533733132,0.044507801932336,0.00100595144097727,5.20544,47.0698,-41.86436,9.04242484785148
5,"2-2-2-2-2",100,1000,"ifeval_min30","strong",0.05,"viroli_laplace_gibbs",25,25,0.143930604052085,0.149560176577598,-0.00562957252551244,0.495765913054993,0.436177350603524,0.0595885624514689,0.441146106235638,0.45901952873878,-0.0178734225031419,0.0901867357655325,0.0851093150061498,0.00507742075938265,0.0676990988983892,0.0501659241056641,0.0175331747927251,0.0463838362341185,0.0447155862658908,0.00166824996822766,5.12272,137.45748,-132.33476,26.8329090795515
5,"2-2-2-2-2",200,500,"ifeval_min30","strong",0.05,"viroli_laplace_gibbs",25,25,0.13169453417903,0.147426064248256,-0.0157315300692262,0.354610149584993,0.329551875814564,0.0250582737704296,0.353238595311913,0.347609837814485,0.00562875749742797,0.0698102221979169,0.0678954643152678,0.00191475788264903,0.0339910899416447,0.038233356246415,-0.00424226630477031,0.0359393587262403,0.0355551902635006,0.000384168462739698,8.59268,56.24016,-47.64748,6.54512445476848
5,"2-2-2-2-2",200,1000,"ifeval_min30","strong",0.05,"viroli_laplace_gibbs",25,25,0.130608163842121,0.129394919436284,0.00121324440583695,0.360867437817973,0.325238360363058,0.0356290774549157,0.368507735415922,0.357705326081113,0.0108024093348085,0.0670843228311794,0.0684828710968126,-0.00139854826563315,0.0438705322796053,0.038172602348988,0.00569792993061726,0.0349039513733632,0.035875968728973,-0.000972017355609853,10.37212,158.74584,-148.37372,15.3050523904467
5,"2-2-2-2-2",400,500,"ifeval_min30","strong",0.05,"viroli_laplace_gibbs",25,25,0.130667419228256,0.144263813359877,-0.0135963941316209,0.315628347679778,0.313391263912189,0.00223708376758902,0.313843259740748,0.31652160834859,-0.00267834860784233,0.0456342669129887,0.0441165725701741,0.00151769434281463,0.0273872642914699,0.0338979773559893,-0.00651071306451943,0.0230331757057693,0.0228879382740037,0.000145237431765602,17.54032,130.4792,-112.93888,7.43881525536592
5,"2-2-2-2-2",400,1000,"ifeval_min30","strong",0.05,"viroli_laplace_gibbs",25,25,0.113022348543402,0.125148108329902,-0.0121257597864997,0.316346322768233,0.308968694609443,0.00737762815879056,0.313177285581949,0.32529283297288,-0.0121155473909314,0.0495576828398522,0.0442058930337109,0.00535178980614132,0.0314111760248716,0.034760760594653,-0.00334958456978148,0.0256783242807813,0.0229065740585451,0.00277175022223614,28.88864,163.30776,-134.41912,5.65300962592909
5,"3-3-3-3-3",100,500,"ifeval_min30","strong",0.05,"viroli_laplace_gibbs",25,25,0.148756679023052,0.175513754611142,-0.0267570755880894,0.511457892252868,0.374222312681656,0.137235579571211,0.347734122520827,0.36810162863247,-0.0203675061116425,0.2791944385242,0.252813028603041,0.0263814099211584,0.236946883311337,0.269285882059397,-0.0323389987480596,0.133449879189818,0.0936684548547301,0.0397814243350874,5.78148,47.2642,-41.48272,8.17510395262113
5,"3-3-3-3-3",100,1000,"ifeval_min30","strong",0.05,"viroli_laplace_gibbs",25,25,0.181284672994305,0.163812863428557,0.0174718095657481,0.523257968634628,0.367320119618099,0.155937849016529,0.387198000438494,0.367648993015553,0.0195490074229416,0.303584153351198,0.252531627743189,0.051052525608009,0.256270899355876,0.26372792805764,-0.00745702870176423,0.141807363829959,0.0949115888834252,0.0468957749465342,5.39704,121.14316,-115.74612,22.4462223737456
5,"3-3-3-3-3",200,500,"ifeval_min30","strong",0.05,"viroli_laplace_gibbs",25,25,0.130004874148026,0.151871614025858,-0.0218667398778321,0.363166440601818,0.298847925026751,0.0643185155750668,0.26202952840746,0.293558944940389,-0.0315294165329292,0.0898395593994651,0.228991502751109,-0.139151943351644,0.0617594619688809,0.214007563923355,-0.152248101954474,0.0383601457456997,0.0788336770541593,-0.0404735313084597,8.94132,56.57604,-47.63472,6.3274818483177
5,"3-3-3-3-3",200,1000,"ifeval_min30","strong",0.05,"viroli_laplace_gibbs",25,25,0.142915848621403,0.134796130780807,0.00811971784059631,0.374077190018764,0.305120446051254,0.0689567439675099,0.308317216117827,0.293775171425527,0.0145420446923002,0.115328934192522,0.202048252858546,-0.0867193186660241,0.0873592625288608,0.176726307069802,-0.0893670445409408,0.0386014954725931,0.067333518705858,-0.028732023233265,10.33692,145.94436,-135.60744,14.118747170337
