"method","H_true","G_config","n","p","factor_score_rmse","probability_rmse","lambda_rmse","alpha_rmse","marginal_mu_rmse","marginal_var_rmse","marginal_weight_rmse","seconds"
"Product MAP",5,"2-2-2-2-2",100,500,0.136797615159759,0.086540058263756,0.221553713380778,0.35434329160768,0.0895983704594,0.0243479971193333,0.0447888118227587,8.46204
"Gibbs",5,"2-2-2-2-2",100,500,0.128017156021945,0.0816561074206404,0.201119326887567,0.288562175996666,0.0901804561314036,0.07610363723377,0.0437996499546232,103.17396
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",100,500,0.168168835589501,0.118728016734162,0.230901458134727,0.405899273323357,0.0963378241013488,0.0333357566220407,0.0472555937528905,10.49352
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",100,500,0.1556888481891,0.109978900326635,0.202827796332744,0.311304405950863,0.0962422070917922,0.0907462538847237,0.0459151530183942,139.60032
"Product MAP",5,"2-2-2-2-2",100,1000,0.120363358901851,0.0844647859306893,0.219748848537542,0.355582494262164,0.0952071879019574,0.0213145775667607,0.0475601486212147,11.11908
"Gibbs",5,"2-2-2-2-2",100,1000,0.102938389995699,0.0784858924969769,0.199498701742668,0.292506412856008,0.094120806604804,0.0693252702334259,0.0462728541979846,161.52132
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",100,1000,0.147320736034154,0.116299480521308,0.222188561147146,0.386678182320586,0.106250576497907,0.0279571292332996,0.0527765903557891,12.43408
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",100,1000,0.125758220152104,0.106091394463764,0.199456365225525,0.319622949636668,0.104329008127255,0.0813342687460964,0.0517333459858009,231.01848
"Product MAP",5,"2-2-2-2-2",100,1500,0.115327296021033,0.0841262418534359,0.218026504954203,0.34931420353321,0.0967143705684654,0.0194853425918741,0.0486167213856251,14.8472
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",100,1500,0.140272532838889,0.115388670838925,0.220699112041978,0.377358360921927,0.101509331773277,0.0265566374092772,0.0505006446453864,16.18948
"Product MAP",5,"2-2-2-2-2",100,2000,0.111982392346995,0.0839941128078244,0.21694713017523,0.345560154195826,0.103372074781297,0.0204149873380596,0.0519137361385358,18.83728
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",100,2000,0.135180924246247,0.114667148408117,0.219697650057773,0.388820798689547,0.0938680460393675,0.0251791979059416,0.0470647429065288,19.65712
