"method","H_true","G_config","n","p","factor_score_rmse","probability_rmse","lambda_rmse","alpha_rmse","marginal_mu_rmse","marginal_var_rmse","marginal_weight_rmse","seconds"
"Product MAP",5,"2-2-2-2-2",100,500,0.109789564029067,0.0829998308291547,0.219332362598784,0.336575669405595,0.0894456012343863,0.0065149959257323,0.0446686550642258,14.4066
"Gibbs",5,"2-2-2-2-2",100,500,0.118261587414975,0.078907455858042,0.206143121852317,0.288084626689056,0.0940437966633783,0.0886295363487635,0.0437586082962261,107.70928
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",100,500,0.127158065855893,0.113902010768874,0.22691704894209,0.381518911841164,0.0952941416661993,0.0093215736639041,0.0472083222268316,17.41076
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",100,500,0.14394714585399,0.106482476364895,0.209460511433411,0.312530509941987,0.100689498985212,0.10201445238015,0.0463755790451025,145.46624
"Product MAP",5,"2-2-2-2-2",200,500,0.105789518221224,0.0597774125141128,0.140778257286063,0.211934808659405,0.065674095132068,0.00818925412144299,0.0328691619010065,14.80776
"Gibbs",5,"2-2-2-2-2",200,500,0.109701619503847,0.0586146934130249,0.148864099536067,0.202200726299604,0.0678756296190515,0.0501535525063524,0.0325587550962332,124.29832
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",200,500,0.121362497947673,0.080640196217044,0.134230704702736,0.223455643869442,0.0702239458032916,0.0114462712581165,0.0348346336120421,18.74336
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",200,500,0.130001253573985,0.0779816521247594,0.142742289736128,0.206159128594692,0.0723916778351052,0.0591147322449572,0.0344344458075549,161.78808
"Product MAP",5,"2-2-2-2-2",400,500,0.104309792630359,0.0458524658733139,0.0997624208704607,0.155290261424462,0.0529579170198236,0.00915201407344965,0.0268208346974889,16.03864
"Gibbs",5,"2-2-2-2-2",400,500,0.108923039789549,0.047619919326964,0.109447906161771,0.156495853710236,0.0540399132232774,0.0310916939122051,0.0266693830969762,153.1138
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",400,500,0.11678910841278,0.0615681735604809,0.0937966986828409,0.151660005594217,0.0464761289781022,0.0094969106248175,0.0235023345395463,18.04608
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",400,500,0.124747098273193,0.064746845805291,0.105977457126648,0.149708521582389,0.048873958902347,0.036864029910081,0.0233568628283641,196.61856
"Product MAP",5,"2-2-2-2-2",100,1000,0.0971269832789178,0.0818146404555379,0.221762278760223,0.346617625185051,0.095516340837139,0.00594981459593762,0.0474153010458508,19.33116
"Gibbs",5,"2-2-2-2-2",100,1000,0.0945865661422825,0.0761731824750542,0.205207685969101,0.296860356117667,0.0975530981655145,0.0805447679584121,0.0462938322452387,168.0714
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",100,1000,0.114470873959699,0.113005007586776,0.222279745785883,0.369157875537137,0.106453253668288,0.0078841516384107,0.05278222684171,41.76404
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",100,1000,0.11834327331154,0.10328149400938,0.20480071064744,0.324141882910651,0.107930677039165,0.0911199671472596,0.0518942624359659,240.74384
"Product MAP",5,"2-2-2-2-2",200,1000,0.0901008502226991,0.0587093169797148,0.143381383613193,0.216681136023995,0.0688659051174406,0.00680475392941185,0.0344869580089569,24.324
"Gibbs",5,"2-2-2-2-2",200,1000,0.0893110792364153,0.055715712650456,0.14804639076703,0.203522490436487,0.0696711072060469,0.0443828173838786,0.0341847945436404,185.09852
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",200,1000,0.105141204540101,0.0797433628456477,0.137625947178543,0.227398408855127,0.067570326143847,0.0102760647878499,0.0336036510571032,28.22
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",200,1000,0.107030173881645,0.0736922725982997,0.140285099795379,0.203999630501092,0.0691818540587597,0.0505781045944325,0.0333984224919951,256.9536
"Product MAP",5,"2-2-2-2-2",400,1000,0.0846551194657256,0.04323390990382,0.101118415500623,0.156197414737595,0.0529518178216192,0.00503564916288477,0.0267536116348786,31.5822
"Gibbs",5,"2-2-2-2-2",400,1000,0.0871335740824958,0.0438997315098038,0.10895212170279,0.155894626252802,0.0533891344600981,0.0269243921591165,0.0265111462923664,228.9504
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",400,1000,0.0978176257439556,0.0590301320533899,0.0951738527659039,0.15637284672465,0.047089106131412,0.00323786986881198,0.023748149481721,36.49812
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",400,1000,0.102673286958382,0.059761846592212,0.103418630994232,0.153224447641885,0.0485460548445443,0.0303870206398104,0.0237001767393848,306.22132
