"method","H_true","G_true","n","p","block_size_mode","loading_strength","cross_loading_prob","n_result_rows","factor_score_rmse_mean","factor_score_rmse_sd","factor_score_rmse_n","lambda_rmse_mean","lambda_rmse_sd","lambda_rmse_n","alpha_rmse_mean","alpha_rmse_sd","alpha_rmse_n","marginal_mu_rmse_mean","marginal_mu_rmse_sd","marginal_mu_rmse_n","marginal_var_rmse_mean","marginal_var_rmse_sd","marginal_var_rmse_n","marginal_weight_rmse_mean","marginal_weight_rmse_sd","marginal_weight_rmse_n","seconds_mean","seconds_sd","seconds_n"
"independent_marginal_mixture",5,"2-2-2-2-2",100,500,"ifeval_min30","strong",0.05,25,0.200681108684764,0.012039855592654,25,0.700464351286699,0.00723154924218058,25,0.48392917665846,0.0572125841372087,25,0.166220516763784,0.0300527373553413,25,0.170817382067677,0.015996555627859,25,0.0775042852625494,0.0168497522956996,25,4.73428,1.47392467921533,25
"independent_marginal_mixture",5,"2-2-2-2-2",100,1000,"ifeval_min30","strong",0.05,25,0.193138714599332,0.0238792046221922,25,0.692504767492632,0.00979371178519963,25,0.490004023368433,0.0696944405585572,25,0.158683127081617,0.0349511399848884,25,0.160314614343628,0.011574795354065,25,0.0792419797042952,0.0198183787422219,25,4.37012,1.29999440126999,25
"independent_marginal_mixture",5,"2-2-2-2-2",100,1500,"ifeval_min30","strong",0.05,25,0.213712695357403,0.0235033128961605,25,0.695028416587108,0.0073518858987932,25,0.476979359415474,0.0824028589773328,25,0.163289805910289,0.0398775365320829,25,0.160822185506033,0.0133310708404222,25,0.0814283103520046,0.0226469926771921,25,5.15452,0.943067296997764,25
"independent_marginal_mixture",5,"2-2-2-2-2",100,2000,"ifeval_min30","strong",0.05,25,0.209381969523909,0.0154533083981488,25,0.697749569549844,0.00715143766051498,25,0.482788882823304,0.0727263948274096,25,0.161378494213819,0.030120860409259,25,0.160136507868126,0.014400417332682,25,0.0815987520259101,0.0164557822653302,25,6.12044,1.19781805379615,25
"independent_marginal_mixture",5,"2-2-2-2-2",200,500,"ifeval_min30","strong",0.05,25,0.17923348844158,0.00530877969922943,25,0.530847144968722,0.00677620182789118,25,0.386199869613887,0.0516769406630168,25,0.145882370370026,0.0320977725730578,25,0.166733108155941,0.0153192913064561,25,0.0709994913755344,0.0178590208632799,25,7.91772,1.9013451273594,25
"independent_marginal_mixture",5,"2-2-2-2-2",200,1000,"ifeval_min30","strong",0.05,25,0.183669846361561,0.0128542744471767,25,0.533559819026579,0.00810242330097166,25,0.367840692452163,0.0550065531553583,25,0.138197471604505,0.0319098325536418,25,0.169376289098101,0.0133260487099496,25,0.068038177607425,0.0190832838501701,25,9.09612,1.27860924836324,25
"independent_marginal_mixture",5,"2-2-2-2-2",200,1500,"ifeval_min30","strong",0.05,25,0.178616045048965,0.0114473978335561,25,0.531006867020836,0.00605236072768465,25,0.423992214347053,0.0651866669126184,25,0.14870112853838,0.0286021799879652,25,0.172701855603824,0.0130356429565056,25,0.0738668934831866,0.0172521112126277,25,11.87064,1.65230956744391,25
"independent_marginal_mixture",5,"2-2-2-2-2",200,2000,"ifeval_min30","strong",0.05,25,0.17789409645051,0.0140938613055293,25,0.538530226172436,0.00636640240875367,25,0.411279205919837,0.0534641748970324,25,0.148922758970745,0.0332398206875089,25,0.165579364845805,0.0159993655055811,25,0.0748243187190424,0.0189955106385439,25,14.76072,1.91339975610604,25
"independent_marginal_mixture",5,"2-2-2-2-2",400,500,"ifeval_min30","strong",0.05,25,0.169477805717316,0.00616448920064812,25,0.378326862020077,0.0062111087404792,25,0.2708433621188,0.041330307361807,25,0.127595228600494,0.0197672115206264,25,0.157594808530323,0.0165445409563869,25,0.0641738209198139,0.0118438548552355,25,17.6924,1.72805678436792,25
"independent_marginal_mixture",5,"2-2-2-2-2",400,1000,"ifeval_min30","strong",0.05,25,0.186453675520694,0.0637653115676539,25,0.397230047527407,0.0316235484854399,25,0.303722287243219,0.0589284248333395,25,0.14435596141005,0.0366266004495466,25,0.177729132482833,0.0191953757770578,25,0.0735783361564001,0.0237750450715572,25,29.3322,3.26121425494656,25
