"n","p","H","G","factor_score_rmse","probability_rmse","lambda_rmse","alpha_rmse","marginal_mu_rmse","marginal_var_rmse","marginal_weight_rmse","seconds"
100,500,5,"2-2-2-2-2",0.136120452074492,0.0697344292307527,0.494006153050143,0.467025061148684,0.0881660934130413,0.0533155006993861,0.0455137533733132,5.20544
100,1000,5,"2-2-2-2-2",0.143930604052085,0.0696773209455049,0.495765913054993,0.441146106235638,0.0901867357655325,0.0676990988983892,0.0463838362341185,5.12272
100,1500,5,"2-2-2-2-2",0.167830131067361,0.0713607635570618,0.509956466466707,0.444231337074173,0.0971526673382359,0.0670494613649485,0.050240727457433,5.81168
100,2000,5,"2-2-2-2-2",0.17258289172281,0.0711863385272698,0.509979649783211,0.468425065490595,0.0947613953170231,0.0705757336157504,0.0486037515397432,6.98808
100,500,5,"3-3-3-3-3",0.148756679023052,0.0772528339470168,0.511457892252868,0.347734122520827,0.2791944385242,0.236946883311337,0.133449879189818,5.78148
100,1000,5,"3-3-3-3-3",0.181284672994305,0.0781325858895057,0.523257968634628,0.387198000438494,0.303584153351198,0.256270899355876,0.141807363829959,5.39704
100,1500,5,"3-3-3-3-3",0.178072535128075,0.0779391912853946,0.526095183073507,0.393886042544034,0.326102388809703,0.268034002419019,0.146007185433753,6.94912
100,2000,5,"3-3-3-3-3",0.172022589845206,0.076844986165993,0.523680343338087,0.38712038083791,0.300594167204379,0.260070087587942,0.144351979567544,8.17104
100,500,10,"2-2-2-2-2-2-2-2-2-2",0.140468688148061,0.0906462812869946,0.453316662307275,0.395871858337695,0.0916008499209633,0.0497896059910864,0.047121937851417,5.64916
100,1000,10,"2-2-2-2-2-2-2-2-2-2",0.119624075041843,0.0872517057958816,0.449226013382462,0.420376374504505,0.0906101975512132,0.068431138354942,0.0474193913641982,7.29228
100,1500,10,"2-2-2-2-2-2-2-2-2-2",0.123817097306667,0.086806303439358,0.451734705393047,0.426603315198121,0.0928532760405793,0.0745175633078695,0.0486173854943872,8.01492
100,2000,10,"2-2-2-2-2-2-2-2-2-2",0.131208310518714,0.087667616998658,0.458004215018556,0.427838407588114,0.0943830256933396,0.0849889144221363,0.0490290684747378,9.09436
100,500,10,"3-3-3-3-3-3-3-3-3-3",0.145598413531473,0.0952978860621543,0.451142450124802,0.337080675173354,0.285475691257509,0.242877722874458,0.118674544688244,11.93536
100,1000,10,"3-3-3-3-3-3-3-3-3-3",0.126242256022981,0.0927270318265304,0.45039512329381,0.359429908130915,0.23857334715911,0.22711433856414,0.090583710096174,13.741
100,1500,10,"3-3-3-3-3-3-3-3-3-3",0.133578144801997,0.0933046546071588,0.451950487084497,0.366410004636061,0.258905723991347,0.253700107797343,0.104172143616683,13.02488
100,2000,10,"3-3-3-3-3-3-3-3-3-3",0.155459772142753,0.0956820170493383,0.46471300187528,0.379275146889963,0.266588629259718,0.25884855089988,0.103894684735956,15.24008
200,500,5,"2-2-2-2-2",0.13169453417903,0.0533218703053173,0.354610149584993,0.353238595311913,0.0698102221979169,0.0339910899416447,0.0359393587262403,8.59268
200,1000,5,"2-2-2-2-2",0.130608163842121,0.0511636375569917,0.360867437817973,0.368507735415922,0.0670843228311794,0.0438705322796053,0.0349039513733632,10.37212
200,1500,5,"2-2-2-2-2",0.137766918898036,0.0514740142392468,0.372039413394099,0.381594163856016,0.0741423339231917,0.0458749379606687,0.0382059069982849,12.9476
200,2000,5,"2-2-2-2-2",0.128991235207983,0.050576159458051,0.373138374467773,0.403319119392765,0.0678637242550408,0.0450961677016831,0.0350642150679421,16.21748
200,500,5,"3-3-3-3-3",0.130004874148026,0.0590830855079519,0.363166440601818,0.26202952840746,0.0898395593994651,0.0617594619688809,0.0383601457456997,8.94132
200,1000,5,"3-3-3-3-3",0.142915848621403,0.0571431747024633,0.374077190018764,0.308317216117827,0.115328934192522,0.0873592625288608,0.0386014954725931,10.33692
200,1500,5,"3-3-3-3-3",0.144799871881818,0.0564359660190481,0.383839182703322,0.288589182557893,0.117609145210904,0.0923517156532226,0.0420005337732837,13.3562
200,2000,5,"3-3-3-3-3",0.143428510639452,0.055903665904593,0.383361811692213,0.292422110823609,0.11464952800431,0.0861917499739241,0.0431057495748157,16.548
200,500,10,"2-2-2-2-2-2-2-2-2-2",0.137200483613297,0.0724726817324198,0.327458463673724,0.299434006554392,0.0671637052789238,0.0292437106296779,0.0348089511414936,9.39688
200,1000,10,"2-2-2-2-2-2-2-2-2-2",0.111135475657105,0.0661766992610715,0.326667845774681,0.315841884809628,0.0642537117068164,0.0383150095491823,0.033754201990293,13.02412
200,1500,10,"2-2-2-2-2-2-2-2-2-2",0.105720743908963,0.064640454926492,0.330623973542327,0.324777609019392,0.0636078992595674,0.0463124028852375,0.0333349403492547,16.23604
200,2000,10,"2-2-2-2-2-2-2-2-2-2",0.105490640000632,0.064526418092056,0.337712155322008,0.315999594052452,0.0643241522458387,0.0514340857974762,0.033600180329433,19.16428
