"method","H_true","G_config","n","p","factor_score_rmse","probability_rmse","lambda_rmse","alpha_rmse","marginal_mu_rmse","marginal_var_rmse","marginal_weight_rmse","seconds"
"Product MAP",5,"3-3-3-3-3",100,500,0.140792976077544,0.091218443701631,0.209694317730073,0.316997118212458,0.118503134062846,0.0162942781656319,0.0540990564984554,8.329
"Gibbs",5,"3-3-3-3-3",100,500,0.143088889866776,0.0869642681682835,0.227417941791907,0.277857899782741,0.275521834861896,0.354646170967631,0.0725199261484929,108.36496
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",100,500,0.175265459636056,0.124191972015788,0.212703766625753,0.333126161139399,0.108336539644258,0.0239569877193528,0.0505898308820625,12.973
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",100,500,0.176017629521228,0.117377175364541,0.225296198190697,0.292162803881658,0.284916417383227,0.379652509231126,0.0667710140331451,145.66072
"Product MAP",5,"3-3-3-3-3",100,1000,0.124705380374444,0.0886519121979229,0.206461223837129,0.303659383911023,0.109394049879371,0.0145029481069409,0.0487055244947775,10.81324
"Gibbs",5,"3-3-3-3-3",100,1000,0.114868962951803,0.0836158506016814,0.222861295719359,0.273440374731162,0.267926528743338,0.343122200542694,0.0706372322516651,168.37092
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",100,1000,0.148633528273663,0.118864412007007,0.206916359467187,0.351638618400915,0.108684830572016,0.0165982160095539,0.0488459300722796,15.26308
"Gibbs",10,"3-3-3-3-3-3-3-3-3-3",100,1000,0.138022011274581,0.111245851128772,0.220238534045428,0.298495493278386,0.279152117770777,0.369206414917714,0.0679331794560102,239.9892
"Product MAP",5,"3-3-3-3-3",100,1500,0.11820955872313,0.0871617636604353,0.206366430507417,0.313146694627205,0.101718818480629,0.014164601498159,0.0463376227602377,14.50108
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",100,1500,0.13971012274752,0.116953374233326,0.207147948521928,0.357503689871019,0.113456141880264,0.0159742193620692,0.0495719097087844,19.46668
"Product MAP",5,"3-3-3-3-3",100,2000,0.112711701668517,0.0870536661029665,0.204186868781846,0.318795045472307,0.101006017832366,0.0129320227452339,0.046254776482731,17.44184
"Product MAP",10,"3-3-3-3-3-3-3-3-3-3",100,2000,0.133988302181967,0.116539221641434,0.205139654609136,0.350032588187358,0.10852628898748,0.0149355672928342,0.0481067560045009,22.76932
