"method","H_true","G_true","n","p","block_size_mode","loading_strength","cross_loading_prob","n_result_rows","factor_score_rmse_mean","factor_score_rmse_sd","factor_score_rmse_n","lambda_rmse_mean","lambda_rmse_sd","lambda_rmse_n","alpha_rmse_mean","alpha_rmse_sd","alpha_rmse_n","marginal_mu_rmse_mean","marginal_mu_rmse_sd","marginal_mu_rmse_n","marginal_var_rmse_mean","marginal_var_rmse_sd","marginal_var_rmse_n","marginal_weight_rmse_mean","marginal_weight_rmse_sd","marginal_weight_rmse_n","seconds_mean","seconds_sd","seconds_n"
"independent_marginal_mixture",5,"2-2-2-2-2",100,500,"ifeval_min30","strong",0.05,25,0.136120452074492,0.00615946730604275,25,0.494006153050143,0.00572518283357731,25,0.467025061148684,0.0671038732351095,25,0.0881660934130413,0.0249222873605779,25,0.0533155006993861,0.00849859499581393,25,0.0455137533733132,0.0128192087221049,25,5.20544,1.87179403870547,25
"independent_marginal_mixture",5,"2-2-2-2-2",100,1000,"ifeval_min30","strong",0.05,25,0.143930604052085,0.0217576775424291,25,0.495765913054993,0.0111218942476892,25,0.441146106235638,0.0798628370728134,25,0.0901867357655325,0.0322077347141227,25,0.0676990988983892,0.00859781040930387,25,0.0463838362341185,0.0160015138438258,25,5.12272,1.45633954717527,25
"independent_marginal_mixture",5,"2-2-2-2-2",100,1500,"ifeval_min30","strong",0.05,25,0.167830131067361,0.0154504242338298,25,0.509956466466707,0.00768276202482568,25,0.444231337074173,0.0787861871282995,25,0.0971526673382359,0.0338226689952772,25,0.0670494613649485,0.00702913344699706,25,0.050240727457433,0.017473235367484,25,5.81168,1.87353395396685,25
"independent_marginal_mixture",5,"2-2-2-2-2",100,2000,"ifeval_min30","strong",0.05,25,0.17258289172281,0.021051648274429,25,0.509979649783211,0.00512412976491599,25,0.468425065490595,0.08352906724495,25,0.0947613953170231,0.0285058137054971,25,0.0705757336157504,0.0106641332891102,25,0.0486037515397432,0.0148639911934892,25,6.98808,2.2143317637608,25
"independent_marginal_mixture",5,"2-2-2-2-2",200,500,"ifeval_min30","strong",0.05,25,0.13169453417903,0.0037500548809767,25,0.354610149584993,0.00521088014019458,25,0.353238595311913,0.062465783512699,25,0.0698102221979169,0.0232311772602502,25,0.0339910899416447,0.00616346644626104,25,0.0359393587262403,0.0120058884580085,25,8.59268,2.60982187642503,25
"independent_marginal_mixture",5,"2-2-2-2-2",200,1000,"ifeval_min30","strong",0.05,25,0.130608163842121,0.0157009635832235,25,0.360867437817973,0.00993835896479802,25,0.368507735415922,0.0628893990791002,25,0.0670843228311794,0.0207538073504711,25,0.0438705322796053,0.00593786245101075,25,0.0349039513733632,0.0110934273487957,25,10.37212,2.78700350316728,25
"independent_marginal_mixture",5,"2-2-2-2-2",200,1500,"ifeval_min30","strong",0.05,25,0.137766918898036,0.00749669690366814,25,0.372039413394099,0.00611847545399627,25,0.381594163856016,0.0664139830789639,25,0.0741423339231917,0.0234696149305292,25,0.0458749379606687,0.00391806141148978,25,0.0382059069982849,0.0117362965096978,25,12.9476,3.16762533295843,25
"independent_marginal_mixture",5,"2-2-2-2-2",200,2000,"ifeval_min30","strong",0.05,25,0.128991235207983,0.0115306826833372,25,0.373138374467773,0.00451470105150867,25,0.403319119392765,0.0761636047115863,25,0.0678637242550408,0.0223395008391925,25,0.0450961677016831,0.00543453484614636,25,0.0350642150679421,0.0116801097834517,25,16.21748,3.86749990433096,25
"independent_marginal_mixture",5,"2-2-2-2-2",400,500,"ifeval_min30","strong",0.05,25,0.130667419228256,0.0023065390833741,25,0.315628347679778,0.00467342254257967,25,0.313843259740748,0.0381608597020952,25,0.0456342669129887,0.0154194102252307,25,0.0273872642914699,0.00324385158080596,25,0.0230331757057693,0.00824276995096055,25,17.54032,0.227325156255674,25
"independent_marginal_mixture",5,"2-2-2-2-2",400,1000,"ifeval_min30","strong",0.05,25,0.113022348543402,0.0112590095314931,25,0.316346322768233,0.00665685696401123,25,0.313177285581949,0.0671465808282181,25,0.0495576828398522,0.018154481219237,25,0.0314111760248716,0.00544057656590995,25,0.0256783242807813,0.00958274811014081,25,28.88864,0.696400260865354,25
"independent_marginal_mixture",5,"2-2-2-2-2",400,1500,"ifeval_min30","strong",0.05,25,0.123110406924789,0.0071864568537212,25,0.32985907137357,0.00558561272137316,25,0.311334638298265,0.0476271670300835,25,0.0436498995971433,0.0131363192448063,25,0.0382300303968192,0.0029085476677159,25,0.0222500626163195,0.00717100012276154,25,36.78664,0.356000688201583,25
"independent_marginal_mixture",5,"2-2-2-2-2",400,2000,"ifeval_min30","strong",0.05,25,0.117360522548347,0.00705068404436691,25,0.331791692831514,0.00510879971052101,25,0.320890964391173,0.0486908919350686,25,0.0408525325150247,0.0126001422136906,25,0.0363177345603719,0.00328943408053076,25,0.0206317405699372,0.0071319086230025,25,44.8784,0.214832880785662,25
