"method","H_true","G_config","n","p","factor_score_rmse","probability_rmse","lambda_rmse","alpha_rmse","marginal_mu_rmse","marginal_var_rmse","marginal_weight_rmse","seconds"
"Product MAP",5,"2-2-2-2-2",100,500,0.125291889715057,0.0791127026330279,0.206551569665384,0.332169232787487,0.152932385803599,0.0136083834363059,0.0604381215445761,8.7022
"Gibbs",5,"2-2-2-2-2",100,500,0.118644455329253,0.0781319157340532,0.226172537625809,0.3326808917419,0.142880109959577,0.0954363175172989,0.0590320241548898,113.114
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",100,500,0.133937374570389,0.102837705469864,0.179706603886089,0.263486514247772,0.0842088717121088,0.0105347742321091,0.0348616843112571,11.2554
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",100,500,0.139092418533244,0.0996107738743864,0.195658262559226,0.267767483565785,0.0943038486057104,0.104278604586429,0.0342028193677315,152.6332
"Product MAP",5,"2-2-2-2-2",200,500,0.1117278433346,0.0619918449688118,0.151812793257922,0.222450420186315,0.0863061819689425,0.00967311334288159,0.0365505873046425,17.062
"Gibbs",5,"2-2-2-2-2",200,500,0.114469030308977,0.0609536375925012,0.159596780486791,0.209731712417975,0.0863539742870995,0.0549797788108385,0.0359673210739224,137.0812
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",200,500,0.123391715366071,0.082372779147213,0.145882502875513,0.249273734320314,0.0769779467623708,0.0113473598096206,0.0327818055032543,53.665
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",200,500,0.129121692039733,0.079887090476993,0.147467589080316,0.221051018691404,0.0822224793701118,0.0626874059074105,0.0328341742303387,179.0014
"Product MAP",5,"2-2-2-2-2",400,500,0.107636437608996,0.0483916769018767,0.115966372473419,0.161564389701627,0.0425073527872554,0.00888800430262825,0.0179871374711261,20.4586
"Gibbs",5,"2-2-2-2-2",400,500,0.111318120748467,0.0498642518993313,0.120799873571918,0.158971445968231,0.0437951806762817,0.034198690382087,0.0177031841869034,168.0878
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",400,500,0.117553778700043,0.0633066532607249,0.0999420570049659,0.163802321791717,0.0526935418349272,0.00825188552123632,0.0221388416532306,254.1638
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",400,500,0.124533406835015,0.0662253744321709,0.108969144364051,0.159941978245442,0.0568827540295963,0.0402753171836906,0.0221808313255161,574.6334
"Product MAP",5,"2-2-2-2-2",100,1000,0.11761687492554,0.0790508130975273,0.20482459522761,0.285646374469591,0.110280251056782,0.0124876285366706,0.0468427365033286,11.9282
"Gibbs",5,"2-2-2-2-2",100,1000,0.0976742846231611,0.0765366790220992,0.223358325028737,0.287085216607674,0.11132678280658,0.0838752552569713,0.0462634677589646,547.5222
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",100,1000,0.123083009780597,0.101567100517952,0.181819226794136,0.293650136985836,0.105276204551828,0.0115345148474212,0.042304443626789,79.5254
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",100,1000,0.115432337821522,0.0969008766447435,0.197651735430699,0.294659348087769,0.10546696281458,0.095477355648181,0.0411141912888902,247.6384
"Product MAP",5,"2-2-2-2-2",200,1000,0.09748711967452,0.060261730004108,0.158208614210849,0.235708385835906,0.0905278957612893,0.00955699971759876,0.0370640957550226,22.883
"Gibbs",5,"2-2-2-2-2",200,1000,0.0929260701824391,0.0585970191707531,0.168042436048038,0.238060812318311,0.0867371756637121,0.0491314266251721,0.0363588826657548,189.823
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",200,1000,0.109774940344236,0.0806984220761129,0.137917696546109,0.214134566072159,0.0744915923931074,0.0094220548539434,0.031785444339304,37.075
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",200,1000,0.107341615297691,0.0764496586137809,0.146054888137121,0.20563193648597,0.0779494448659555,0.0554983308011139,0.0315312173782332,275.7418
"Product MAP",5,"2-2-2-2-2",400,1000,0.086411322866729,0.0449525941979419,0.113194010137081,0.160609234398356,0.055643737971662,0.00659752586794664,0.0241581507297438,40.9974
"Gibbs",5,"2-2-2-2-2",400,1000,0.088513739002108,0.0455667971875852,0.121213988246206,0.164649900657371,0.0582028393931126,0.0284401862063442,0.024221149721673,236.4648
"Product MAP",10,"2-2-2-2-2-2-2-2-2-2",400,1000,0.099583927050773,0.0612190840812785,0.100487323268827,0.163213352996034,0.0508872806287771,0.00417419023920893,0.0214650257520198,57.1326
"Gibbs",10,"2-2-2-2-2-2-2-2-2-2",400,1000,0.10380995795633,0.0618781089799903,0.108021186490285,0.16307442539516,0.0525790298362705,0.0333690440619545,0.0213037154732046,329.6932
