"item","block","H","p","p_master","loading_seed","block_size_mode","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10"
1,1,10,1000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.06372063537128,0,0,0,0,0,0,0,0,0
2,1,10,1000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.14788222429343,0,0,0,0,0,0,0,0,2.24008101737127
3,1,10,1000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.70178504684009,0,0,0,0,0,0,2.17381298402324,0,-2.28677527769469
4,1,10,1000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.19517084769905,0,0,0,0,0,0,0,0,0
5,1,10,1000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.69649382843636,0,0,0,0,0,0,0,0,0
6,1,10,1000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.76632742304355,0,0,0,0,0,0,0,0,0
7,1,10,1000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.6885175970383,0,0,0,0,0,0,0,0,0
8,1,10,1000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.63658566656522,0,0,0,0,0,0,0,0,2.17968451487832
9,1,10,1000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.65486196195707,0,0,-2.17755554406904,0,0,0,0,0,0
10,1,10,1000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.90124405291863,0,0,0,0,0,0,0,0,0
11,1,10,1000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.79375139740296,0,0,0,0,0,0,0,0,0
12,1,10,1000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.85298008029349,0,0,0,0,0,0,0,0,0
13,1,10,1000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.32924255984835,0,0,0,0,0,0,0,0,0
14,1,10,1000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.24575785710476,0,0,0,0,0,0,0,0,0
15,1,10,1000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.3778336988762,2.25857808021829,0,0,0,0,0,0,0,0
16,1,10,1000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.54990975395776,0,0,0,0,0,0,0,0,0
17,1,10,1000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.69902475737035,0,0,0,0,0,0,0,0,0
18,1,10,1000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.92431185790338,0,0,0,0,0,0,0,0,0
19,1,10,1000,2000,21271531,"ifeval_min30",2,3,2,3,0.05,2.04503439180553,0,0,0,0,0,0,-2.25204481114633,0,0
