"item","block","H","p","p_master","loading_seed","block_size_mode","primary_loading_min","primary_loading_max","cross_loading_min","cross_loading_max","cross_loading_prob","F1","F2","F3","F4","F5"
1,1,5,2000,2000,20771531,"ifeval_min30",2,3,2,3,0.05,2.86722185509279,0,0,0,-2.11773793981411
2,1,5,2000,2000,20771531,"ifeval_min30",2,3,2,3,0.05,2.73089766642079,0,0,0,0
3,1,5,2000,2000,20771531,"ifeval_min30",2,3,2,3,0.05,2.86686996580102,0,0,0,0
4,1,5,2000,2000,20771531,"ifeval_min30",2,3,2,3,0.05,2.3806239226833,0,0,0,0
5,1,5,2000,2000,20771531,"ifeval_min30",2,3,2,3,0.05,2.42512730229646,0,0,0,0
6,1,5,2000,2000,20771531,"ifeval_min30",2,3,2,3,0.05,2.95887841354124,0,0,0,0
7,1,5,2000,2000,20771531,"ifeval_min30",2,3,2,3,0.05,2.38539236132056,2.73668251838535,0,0,0
8,1,5,2000,2000,20771531,"ifeval_min30",2,3,2,3,0.05,2.09166830219328,0,0,0,0
9,1,5,2000,2000,20771531,"ifeval_min30",2,3,2,3,0.05,2.94601272349246,0,0,0,0
10,1,5,2000,2000,20771531,"ifeval_min30",2,3,2,3,0.05,2.71124924323522,0,0,0,0
11,1,5,2000,2000,20771531,"ifeval_min30",2,3,2,3,0.05,2.44508967897855,2.16243666270748,0,0,0
12,1,5,2000,2000,20771531,"ifeval_min30",2,3,2,3,0.05,2.36947371833958,0,-2.13547136262059,0,2.74893745803274
13,1,5,2000,2000,20771531,"ifeval_min30",2,3,2,3,0.05,2.1088259681128,0,-2.08346589002758,0,0
14,1,5,2000,2000,20771531,"ifeval_min30",2,3,2,3,0.05,2.98390831216238,0,0,0,0
15,1,5,2000,2000,20771531,"ifeval_min30",2,3,2,3,0.05,2.65873484523036,0,0,0,0
16,1,5,2000,2000,20771531,"ifeval_min30",2,3,2,3,0.05,2.90395844331942,0,0,2.47759966785088,0
17,1,5,2000,2000,20771531,"ifeval_min30",2,3,2,3,0.05,2.42769306129776,0,0,0,0
18,1,5,2000,2000,20771531,"ifeval_min30",2,3,2,3,0.05,2.91752960346639,0,0,0,0
19,1,5,2000,2000,20771531,"ifeval_min30",2,3,2,3,0.05,2.28639115137048,0,0,0,0
20,1,5,2000,2000,20771531,"ifeval_min30",2,3,2,3,0.05,2.22413006075658,0,0,0,0
21,1,5,2000,2000,20771531,"ifeval_min30",2,3,2,3,0.05,2.5732904439792,0,0,0,0
22,1,5,2000,2000,20771531,"ifeval_min30",2,3,2,3,0.05,2.45299893151969,0,-2.76903555379249,0,-2.1323214028962
23,1,5,2000,2000,20771531,"ifeval_min30",2,3,2,3,0.05,2.53979962738231,0,0,2.09226915612817,0
24,1,5,2000,2000,20771531,"ifeval_min30",2,3,2,3,0.05,2.45877927355468,0,0,0,0
25,1,5,2000,2000,20771531,"ifeval_min30",2,3,2,3,0.05,2.57161152688786,0,0,0,0
26,1,5,2000,2000,20771531,"ifeval_min30",2,3,2,3,0.05,2.10821361327544,0,0,0,0
27,1,5,2000,2000,20771531,"ifeval_min30",2,3,2,3,0.05,2.41058786376379,0,0,0,0
28,1,5,2000,2000,20771531,"ifeval_min30",2,3,2,3,0.05,2.50140771293081,-2.28247371199541,0,0,0
29,1,5,2000,2000,20771531,"ifeval_min30",2,3,2,3,0.05,2.90568510326557,0,0,0,0
