"H","fold","G_fixed","heldout_loglik_per_response","train_loglik_per_response","mixture_loglik_per_model_factor","n_heldout","fit_seconds"
1,1,3,-0.295017099059968,-0.273020208766468,-1.21180101375862,20196,2.84
1,2,3,-0.30172658062988,-0.270290233687835,-1.23571594763487,20309,2.624
1,3,3,-0.300756500229629,-0.269724599489024,-1.20375955682131,20495,2.535
2,1,3,-0.278870250097531,-0.238306209996004,-1.19305615327612,20196,3.116
2,2,3,-0.284326016867317,-0.236247565099491,-1.29357720278945,20309,2.914
2,3,3,-0.279200777802836,-0.236792753345485,-1.25885470582394,20495,2.994
3,1,3,-0.269175176674383,-0.221156763263536,-1.24964474992927,20196,3.494
3,2,3,-0.279611140462637,-0.21626375126112,-1.25493175831728,20309,3.341
3,3,3,-0.278077028723932,-0.215967012463394,-1.24018157723164,20495,3.466
4,1,3,-0.272683606978385,-0.206255537661715,-1.20841719628351,20196,4.26
4,2,3,-0.287867727831471,-0.205238765564676,-1.20466929050892,20309,4.249
4,3,3,-0.284604964191645,-0.201864888722312,-1.18237350059331,20495,3.91699999999999
5,1,3,-0.286734827852065,-0.194488121582896,-1.19356370604014,20196,4.475
5,2,3,-0.291873139100214,-0.190144951360386,-1.19070476454366,20309,4.37
5,3,3,-0.30080731548278,-0.189929141578141,-1.22310208432532,20495,4.6
6,1,3,-0.298014487047785,-0.182586663404514,-1.15625796648578,20196,5.239
6,2,3,-0.297138266515062,-0.179098997719378,-1.23007267650886,20309,5.393
6,3,3,-0.298784981409746,-0.178400853457649,-1.14221741651561,20495,5.429
7,1,3,-0.304471584123427,-0.172464746626961,-1.18358438444799,20196,5.98100000000001
7,2,3,-0.305792992580707,-0.169919026795027,-1.23970605794643,20309,5.015
7,3,3,-0.309439966908164,-0.168092491936633,-1.19694110765514,20495,6.041
8,1,3,-0.312963457397345,-0.160585286212533,-1.18782501648967,20196,7.67100000000001
8,2,3,-0.316431050616036,-0.159970310086529,-1.24353841229677,20309,7.053
8,3,3,-0.315101736593349,-0.158308257067577,-1.16365503902833,20495,7.777
9,1,3,-0.335568456265981,-0.152034147820194,-1.23001935168052,20196,8.834
9,2,3,-0.331206193012509,-0.147489412699142,-1.25493018555128,20309,8.82400000000001
9,3,3,-0.326183248769516,-0.147859220786393,-1.17385550968915,20495,8.807
10,1,3,-0.347523136898387,-0.143330898225171,-1.20330122940063,20196,10.119
10,2,3,-0.347799725291081,-0.139503364664495,-1.21191602281396,20309,10.238
10,3,3,-0.360686808450605,-0.139424565878053,-1.13363144078731,20495,10.209
