"H","mean_heldout_loglik_per_response","sd_heldout_loglik_per_response","se_heldout_loglik_per_response","best_H","selected_by_one_se","one_se_threshold"
1,-0.299247584832923,0.0036702305362273,0.00211900858807882,FALSE,FALSE,-0.280076090312494
2,-0.280524387765454,0.00306910977943963,0.00177195135733198,FALSE,FALSE,-0.280076090312494
3,-0.276161109432716,0.00678094579443459,0.00391498087977707,TRUE,TRUE,-0.280076090312494
4,-0.282085817662756,0.00938428291818478,0.00541801826896559,FALSE,FALSE,-0.280076090312494
5,-0.29326926861891,0.00864959551557776,0.0049938462993002,FALSE,FALSE,-0.280076090312494
6,-0.298869179881612,0.00423353472519136,0.00244423241321286,FALSE,FALSE,-0.280076090312494
7,-0.309173468893823,0.0065064849456371,0.00375652083484183,FALSE,FALSE,-0.280076090312494
8,-0.321791596710803,0.00429642552478149,0.00248054243328577,FALSE,FALSE,-0.280076090312494
9,-0.344799987148364,0.00637610020531784,0.00368124316992029,FALSE,FALSE,-0.280076090312494
10,-0.354551928587524,0.00875251047584682,0.00505326427931518,FALSE,FALSE,-0.280076090312494
