"method","H","fold","heldout_loglik_per_response","heldout_accuracy","heldout_brier","n_heldout","train_loglik_per_response","fit_seconds"
"ordinary_probit_factor",1,1,-0.295962467311641,0.873489799960388,0.0909532955622182,20196,-0.271599004816596,2.582
"ordinary_probit_factor",1,2,-0.301708135288175,0.867152493968191,0.0931616364722118,20309,-0.268569948438136,2.747
"ordinary_probit_factor",1,3,-0.301153081591603,0.868504513295926,0.0930888217380397,20495,-0.268231889370293,2.994
"ordinary_probit_factor",2,1,-0.280830515489469,0.884085957615369,0.0834975886603337,20196,-0.236413669033112,3.139
"ordinary_probit_factor",2,2,-0.288610121497077,0.880200896154414,0.0851638096258487,20309,-0.233303777231383,3.065
"ordinary_probit_factor",2,3,-0.285287802593975,0.878067821419859,0.0868730849738126,20495,-0.236655820091178,3.117
"ordinary_probit_factor",3,1,-0.271021366196695,0.888245197068727,0.0802827415594932,20196,-0.21794831843425,3.394
"ordinary_probit_factor",3,2,-0.283550545276866,0.882515141070461,0.0836491931610189,20309,-0.214841173282313,3.345
"ordinary_probit_factor",3,3,-0.283170890695094,0.884947548182484,0.0837470224817705,20495,-0.212175220159463,3.28
"ordinary_probit_factor",4,1,-0.27978337115079,0.88973063973064,0.0810286249141139,20196,-0.202858033444311,3.43
"ordinary_probit_factor",4,2,-0.286666555217623,0.887094391649023,0.0825607466313192,20309,-0.198220216486073,3.497
"ordinary_probit_factor",4,3,-0.287008607685286,0.885045132959258,0.0834322285529039,20495,-0.195710438186855,3.78
"ordinary_probit_factor",5,1,-0.291653398907246,0.88750247573777,0.0823449710674157,20196,-0.187951074885128,3.73
"ordinary_probit_factor",5,2,-0.292794044869544,0.8858634103107,0.0836093412457596,20309,-0.184319197737948,3.434
"ordinary_probit_factor",5,3,-0.300854974620714,0.883971700414735,0.0851954601704557,20495,-0.185324567462014,3.472
"ordinary_probit_factor",6,1,-0.301648619089201,0.887700534759358,0.0835479840242579,20196,-0.174713781631376,3.589
"ordinary_probit_factor",6,2,-0.306373730764738,0.884829385986508,0.085434470659429,20309,-0.171799911080219,3.632
"ordinary_probit_factor",6,3,-0.319263245368713,0.88445962429861,0.0861948576695673,20495,-0.169834269407738,3.558
"ordinary_probit_factor",7,1,-0.313763455711391,0.885125767478709,0.0849434977078377,20196,-0.162940522448391,3.605
"ordinary_probit_factor",7,2,-0.325347820665713,0.88231818405633,0.088592845905787,20309,-0.159175953320003,3.675
"ordinary_probit_factor",7,3,-0.331896124432268,0.883483776530861,0.0890073674816556,20495,-0.159292920782297,3.675
"ordinary_probit_factor",8,1,-0.33571463769855,0.882798573975045,0.0883731271303665,20196,-0.151414230687881,3.80799999999999
"ordinary_probit_factor",8,2,-0.35077009633354,0.878723718548427,0.0917244555681481,20309,-0.150778258493391,3.98399999999999
"ordinary_probit_factor",8,3,-0.341105401135609,0.879434008294706,0.0905957528465065,20495,-0.147595479517418,3.763
"ordinary_probit_factor",9,1,-0.361784471816959,0.877896613190731,0.092089200706606,20196,-0.142197410200849,4.068
"ordinary_probit_factor",9,2,-0.353497873966279,0.877492737210104,0.0930857106056742,20309,-0.140645122864719,4.086
"ordinary_probit_factor",9,3,-0.360708860254224,0.880019516955355,0.0913158658987585,20495,-0.13821602472843,4.137
"ordinary_probit_factor",10,1,-0.358912740484896,0.87893642305407,0.0920821536458472,20196,-0.133201440582256,3.911
"ordinary_probit_factor",10,2,-0.366911497813373,0.876951105421242,0.0941830702238405,20309,-0.131595072980318,3.815
"ordinary_probit_factor",10,3,-0.384419540835235,0.876506464991461,0.0950178761923621,20495,-0.128379326073876,4.36000000000001
